definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
Aç,action_words,Ac,word,understands; produces,NA,item_258,open,open (action)
Hiç,quantifiers,Hic,word,understands; produces,NA,item_415,none/any,none
İşte,quantifiers,Iste,word,understands; produces,NA,item_416,here/there/behold,here
Öbürü,quantifiers,Oburu,word,understands; produces,NA,item_417,the other,other
Yine/Gene,quantifiers,Yine/Gene,word,understands; produces,NA,item_418,again,again
Kim,question_words,Kim,word,understands; produces,NA,item_394,who,who
Nasıl,question_words,Nasil,word,understands; produces,NA,item_395,how,how
Ne,question_words,Ne,word,understands; produces,NA,item_396,what,what
Neden,question_words,Neden,word,understands; produces,NA,item_397,why,why
Nerede,question_words,Nerede,word,understands; produces,NA,item_399,where at,where (question)
Nereye,question_words,Nereye,word,understands; produces,NA,item_398,where to,where (question)
Niye,question_words,Niye,word,understands; produces,NA,item_400,why,why
Cee,sounds,Cee,word,understands; produces,NA,item_157,peekaboo,peekaboo
Cıss,sounds,Ciss,word,understands; produces,NA,item_156,don't-touch-it,don't
Düt,sounds,Dut_,word,understands; produces,NA,item_155,beep,vroom
Ham,sounds,Ham,word,understands; produces,NA,item_154,yum yum,yum yum
Havhav,sounds,Havhav,word,understands; produces,NA,item_153,woof woof,woof woof
Hop/Hoppa,sounds,Hop/Hoppa,word,understands; produces,NA,item_152,up up,up
Mee,sounds,Mee,word,understands; produces,NA,item_151,baa,baa baa
Möö,sounds,Moo,word,understands; produces,NA,item_150,moo,moo
Pisi-pisi,sounds,Pisi-pisi,word,understands; produces,NA,item_149,meow,meow
Uf,sounds,Uf,word,understands; produces,NA,item_148,ouch,ouch
Akşam,time_words,Aksam,word,understands; produces,NA,item_376,evening,evening
Bugün,time_words,Bugun,word,understands; produces,NA,item_377,today,today
Gece,time_words,Gece,word,understands; produces,NA,item_378,night,night
Hemen,time_words,Hemen,word,understands; produces,NA,item_379,immediately/right now,now
Sabah,time_words,Sabah,word,understands; produces,NA,item_380,morning,morning
Şimdi,time_words,Simdi,word,understands; produces,NA,item_381,now,now
Balon,toys,Balon,word,understands; produces,NA,item_123,balloon,balloon
Bebek (object),toys,Bebek,word,understands; produces,NA,item_122,doll,doll
Boya (object),toys,Boya,word,understands; produces,NA,item_121,crayon,crayon
Kalem,toys,Kalem,word,understands; produces,NA,item_120,pencil,pen/pencil
Kitap,toys,Kitap,word,understands; produces,NA,item_119,book,book
Kova,toys,Kova,word,understands; produces,NA,item_118,bucket/pail,bucket
Oyuncak,toys,Oyuncak,word,understands; produces,NA,item_117,toy,toy (object)
Top,toys,Top,word,understands; produces,NA,item_116,ball,ball
Araba,vehicles,Araba,word,understands; produces,NA,item_130,car,car
Bisiklet,vehicles,Bisiklet,word,understands; produces,NA,item_129,bicycle,bicycle
Gemi/Vapur,vehicles,Gemi/Vapur,word,understands; produces,NA,item_128,boat/ship,boat
Kamyon,vehicles,Kamyon,word,understands; produces,NA,item_127,truck,truck
Otobüs,vehicles,Otobus,word,understands; produces,NA,item_126,bus,bus
Tren,vehicles,Tren,word,understands; produces,NA,item_125,train,train
Uçak,vehicles,Ucak,word,understands; produces,NA,item_124,airplane,airplane
