itemID,item,type,category,choices,definition,gloss,uni_lemma,item_id,original_category
item_353,item_353,word,descriptive_words,understands; produces,rouge,,,item_549,Mots descriptifs
item_354,item_354,word,descriptive_words,understands; produces,sale,,,item_532,Mots descriptifs
item_355,item_355,word,descriptive_words,understands; produces,sec/che,,,item_533,Mots descriptifs
item_356,item_356,word,descriptive_words,understands; produces,sombre,,,item_531,Mots descriptifs
item_357,item_357,word,descriptive_words,understands; produces,tendre,,,,
item_358,item_358,word,descriptive_words,understands; produces,vide,,,item_534,Mots descriptifs
item_359,item_359,word,descriptive_words,understands; produces,vieux/vieille,,,item_547,Mots descriptifs
item_360,item_360,word,descriptive_words,understands; produces,vilain/e,,,item_545,Mots descriptifs
item_361,item_361,word,descriptive_words,understands; produces,vite,,,item_535,Mots descriptifs
item_362,item_362,word,action_words,understands; produces,aider,,,item_603,Mots d'action
item_363,item_363,word,action_words,understands; produces,aimer,,,item_612,Mots d'action
item_364,item_364,word,action_words,understands; produces,aller,,,item_457,Auxiliaires
item_365,item_365,word,action_words,understands; produces,apporter,,,item_589,Mots d'action
item_366,item_366,word,action_words,understands; produces,arrêter,,,item_627,Mots d'action
item_367,item_367,word,action_words,understands; produces,avoir sommeil,,,item_552,Mots descriptifs
item_368,item_368,word,action_words,understands; produces,balancer,,,item_629,Mots d'action
item_369,item_369,word,action_words,understands; produces,boire,,,item_596,Mots d'action
item_370,item_370,word,action_words,understands; produces,casser,,,item_588,Mots d'action
item_371,item_371,word,action_words,understands; produces,chanter,,,item_623,Mots d'action
item_372,item_372,word,action_words,understands; produces,chatouiller,,,item_631,Mots d'action
item_373,item_373,word,action_words,understands; produces,conduire,,,item_597,Mots d'action
item_374,item_374,word,action_words,understands; produces,courir,,,item_619,Mots d'action
item_375,item_375,word,action_words,understands; produces,danser,,,item_594,Mots d'action
item_376,item_376,word,action_words,understands; produces,dessiner,,,item_595,Mots d'action
item_377,item_377,word,action_words,understands; produces,dire,,,item_620,Mots d'action
item_378,item_378,word,action_words,understands; produces,donner,,,,
item_379,item_379,word,action_words,understands; produces,donner un coup de pied,,,item_608,Mots d'action
item_380,item_380,word,action_words,understands; produces,dormir,,,item_624,Mots d'action
item_381,item_381,word,action_words,understands; produces,éclabousser,,,item_626,Mots d'action
item_382,item_382,word,action_words,understands; produces,écrire,,,item_635,Mots d'action
item_383,item_383,word,action_words,understands; produces,essuyer,,,item_634,Mots d'action
item_384,item_384,word,action_words,understands; produces,faire du vélo/de la moto,,,item_618,Mots d'action
item_385,item_385,word,action_words,understands; produces,faire un bisou,,,item_609,Mots d'action
item_386,item_386,word,action_words,understands; produces,fermer,,,item_592,Mots d'action
item_387,item_387,word,action_words,understands; produces,finir,,,,
item_388,item_388,word,action_words,understands; produces,jeter,,,item_630,Mots d'action
item_389,item_389,word,action_words,understands; produces,jouer,,,,
item_390,item_390,word,action_words,understands; produces,laver,,,item_611,Mots d'action
item_391,item_391,word,action_words,understands; produces,lire,,,item_617,Mots d'action
item_392,item_392,word,action_words,understands; produces,manger,,,item_598,Mots d'action
item_393,item_393,word,action_words,understands; produces,marcher,,,item_633,Mots d'action
item_394,item_394,word,action_words,understands; produces,mettre,,,item_616,Mots d'action
item_395,item_395,word,action_words,understands; produces,montrer,,,item_622,Mots d'action
item_396,item_396,word,action_words,understands; produces,mordre,,,item_586,Mots d'action
item_397,item_397,word,action_words,understands; produces,nager,,,item_628,Mots d'action
item_398,item_398,word,action_words,understands; produces,nettoyer,,,item_591,Mots d'action
item_399,item_399,word,action_words,understands; produces,nourrir,,,item_600,Mots d'action
item_400,item_400,word,action_words,understands; produces,ouvrir,,,item_613,Mots d'action
item_401,item_401,word,action_words,understands; produces,pleurer,,,item_593,Mots d'action
item_402,item_402,word,action_words,understands; produces,pousser,,,item_615,Mots d'action
item_403,item_403,word,action_words,understands; produces,prendre,,,,
item_404,item_404,word,action_words,understands; produces,prendre dans ses bras,,,item_605,Mots d'action
item_405,item_405,word,action_words,understands; produces,recevoir,,,,
item_406,item_406,word,action_words,understands; produces,regarder,,,item_610,Mots d'action
item_407,item_407,word,action_words,understands; produces,sauter,,,item_607,Mots d'action
item_408,item_408,word,action_words,understands; produces,se cogner,,,item_590,Mots d'action
item_409,item_409,word,action_words,understands; produces,se dépêcher,,,item_606,Mots d'action
item_410,item_410,word,action_words,understands; produces,souffler,,,item_587,Mots d'action
item_411,item_411,word,action_words,understands; produces,sourire,,,item_625,Mots d'action
item_412,item_412,word,action_words,understands; produces,taper,,,item_604,Mots d'action
item_413,item_413,word,action_words,understands; produces,tirer,,,item_614,Mots d'action
item_414,item_414,word,action_words,understands; produces,tomber,,,item_599,Mots d'action
item_415,item_415,word,action_words,understands; produces,toucher,,,item_632,Mots d'action
item_416,item_416,word,action_words,understands; produces,voir,,,item_621,Mots d'action
item_417,item_417,word,time_words,understands; produces,aujourd'hui,,,item_377,Mots sur le temps
item_418,item_418,word,time_words,understands; produces,ce soir,,,item_379,Mots sur le temps
item_419,item_419,word,time_words,understands; produces,demain,,,item_378,Mots sur le temps
item_420,item_420,word,time_words,understands; produces,jour,,,item_372,Mots sur le temps
item_421,item_421,word,time_words,understands; produces,maintenant,,,item_376,Mots sur le temps
item_422,item_422,word,time_words,understands; produces,matin,,,item_374,Mots sur le temps
item_423,item_423,word,time_words,understands; produces,nuit,,,item_375,Mots sur le temps
item_424,item_424,word,prepositions,understands; produces,dans,,,item_315,Prépositions et localisations
item_425,item_425,word,prepositions,understands; produces,dedans,,,,
item_426,item_426,word,prepositions,understands; produces,dehors,,,item_321,Prépositions et localisations
item_427,item_427,word,prepositions,understands; produces,derrière,,,item_308,Prépositions et localisations
item_428,item_428,word,prepositions,understands; produces,en bas,,,item_311,Prépositions et localisations
item_429,item_429,word,prepositions,understands; produces,en haut,,,item_326,Prépositions et localisations
item_430,item_430,word,prepositions,understands; produces,là,,,item_328,Prépositions et localisations
item_431,item_431,word,prepositions,understands; produces,là-bas,,,item_323,Prépositions et localisations
item_432,item_432,word,prepositions,understands; produces,loin,,,item_307,Prépositions et localisations
item_433,item_433,word,prepositions,understands; produces,sous,,,item_325,Prépositions et localisations
item_434,item_434,word,prepositions,understands; produces,sur,,,item_319,Prépositions et localisations
item_435,item_435,word,pronouns,understands; produces,à elle/sa,,,item_351,Pronoms
item_436,item_436,word,pronouns,understands; produces,à lui/son,,,item_352,Pronoms
item_437,item_437,word,pronouns,understands; produces,à moi,,,,
item_438,item_438,word,pronouns,understands; produces,ça,,,item_354,Pronoms
item_439,item_439,word,pronouns,understands; produces,je,,,item_353,Pronoms
item_440,item_440,word,pronouns,understands; produces,ma/mon/mes,,,item_356,Pronoms
item_441,item_441,word,pronouns,understands; produces,moi,,,item_355,Pronoms
item_442,item_442,word,pronouns,understands; produces,votre/ta/ton,,,item_358,Pronoms
item_443,item_443,word,pronouns,understands; produces,vous/tu,,,item_357,Pronoms
item_444,item_444,word,question_words,understands; produces,comment,,,item_329,Interrogatifs
item_445,item_445,word,question_words,understands; produces,où,,,item_332,Interrogatifs
item_446,item_446,word,question_words,understands; produces,pourquoi,,,item_334,Interrogatifs
item_447,item_447,word,question_words,understands; produces,quand,,,item_331,Interrogatifs
item_448,item_448,word,question_words,understands; produces,qui,,,item_333,Interrogatifs
item_449,item_449,word,question_words,understands; produces,quoi,,,item_330,Interrogatifs
item_450,item_450,word,quantifiers,understands; produces,aucun/ne,,,item_339,Quantificateurs et articles
item_451,item_451,word,quantifiers,understands; produces,encore,,,item_338,Quantificateurs et articles
item_452,item_452,word,quantifiers,understands; produces,le/la même,,,item_341,Quantificateurs et articles
item_453,item_453,word,quantifiers,understands; produces,pas,,,item_340,Quantificateurs et articles
item_454,item_454,word,quantifiers,understands; produces,tous/tout,,,item_336,Quantificateurs et articles
item_455,item_455,word,quantifiers,understands; produces,un autre,,,item_337,Quantificateurs et articles
item_456,item_456,word,quantifiers,understands; produces,un peu,,,item_342,Quantificateurs et articles
item_457,item_457,gestures_first,,no; yes,agiter la main de sa propre initiative en signe d'aurevoir quand quelqu'un s'en va,,,,
item_458,item_458,gestures_first,,no; yes,demander quelque chose en étendant ses bras et en ouvrant et fermant la main,,,,
item_459,item_459,gestures_first,,no; yes,envoyer des baisers à distance,,,,
item_460,item_460,gestures_first,,no; yes,faire chut en plaçant son doigt sur ses lèvres,,,,
item_461,item_461,gestures_first,,no; yes,faire mmm avec ses lèvres pour dire que quelque chose est bon,,,,
item_462,item_462,gestures_first,,no; yes,hausser les épaules pour dire ils sont partis ou où sont-ils?,,,,
item_463,item_463,gestures_first,,no; yes,hocher la tête pour dire oui,,,,
item_464,item_464,gestures_first,,no; yes,monter (avec le bras et l'index tendus) un objet ou un évènement intéressant,,,,
item_465,item_465,gestures_first,,no; yes,secouer la tête pour dire non,,,,
item_466,item_466,gestures_first,,no; yes,tendre la main pour vous donner un jouet ou objet qu'il tient,,,,
item_467,item_467,gestures_first,,no; yes,tendre les bras pour vous montrer quelque chose qu'il tient dans sa main,,,,
item_468,item_468,gestures_first,,no; yes,tendre les bras quand il désire être porté,,,,
item_469,item_469,gestures_games,,no; yes,ainsi font font… les petites marionnettes,,,,
item_470,item_470,gestures_games,,no; yes,chanter,,,,
item_471,item_471,gestures_games,,no; yes,danser,,,,
item_472,item_472,gestures_games,,no; yes,faire coucou,,,,
item_473,item_473,gestures_games,,no; yes,jouer au loup,,,,
item_474,item_474,gestures_objects,,no; yes,boire dans une tasse,,,,
item_475,item_475,gestures_objects,,no; yes,brosser ses dents,,,,
item_476,item_476,gestures_objects,,no; yes,enfiler des chaussures ou des chaussettes,,,,
item_477,item_477,gestures_objects,,no; yes,essuyer son visage ou ses mains avec une serviette ou un chiffon,,,,
item_478,item_478,gestures_objects,,no; yes,faire semblant de remuer avec une cuillère un liquide dans un récipient,,,,
item_479,item_479,gestures_objects,,no; yes,faire semblant de transvaser un liquide d'un récipient à un autre,,,,
item_480,item_480,gestures_objects,,no; yes,jeter une balle,,,,
item_481,item_481,gestures_objects,,no; yes,manger avec une cuillère ou une fourchette,,,,
item_482,item_482,gestures_objects,,no; yes,mettre un chapeau,,,,
item_483,item_483,gestures_objects,,no; yes,"mettre un collier, un bracelet ou une montre",,,,
item_484,item_484,gestures_objects,,no; yes,peigner ou brosser ses cheveux,,,,
item_485,item_485,gestures_objects,,no; yes,porter le combiné du téléphone à son oreille,,,,
item_486,item_486,gestures_objects,,no; yes,poser sa tête sur ses bras et fermer ses yeux pour faire semblant de dormir,,,,
item_487,item_487,gestures_objects,,no; yes,pousser des petites voitures ou des camions,,,,
item_488,item_488,gestures_objects,,no; yes,sentir les fleurs,,,,
item_489,item_489,gestures_objects,,no; yes,souffler pour montrer que quelque chose est chaud,,,,
item_490,item_490,gestures_objects,,no; yes,tenir un avion et le faire voler,,,,
item_491,item_491,gestures_adult,,no; yes,arroser les plantes,,,,
item_492,item_492,gestures_adult,,no; yes,balayer,,,,
item_493,item_493,gestures_adult,,no; yes,casser avec un marteau,,,,
item_494,item_494,gestures_adult,,no; yes,conduire une voiture en tournant le volant,,,,
item_495,item_495,gestures_adult,,no; yes,creuser avec une pelle,,,,
item_496,item_496,gestures_adult,,no; yes,"écrire avec un crayon, stylo ou feutre",,,,
item_497,item_497,gestures_adult,,no; yes,faire la vaisselle,,,,
item_498,item_498,gestures_adult,,no; yes,"jouer d'un instrument (par exemple piano, trompette…)",,,,
item_499,item_499,gestures_adult,,no; yes,"lire (ouvrire le livre, tourner les pages)",,,,
item_500,item_500,gestures_adult,,no; yes,mettre des lunettes,,,,
item_501,item_501,gestures_adult,,no; yes,mettre une clé dans une serrure ou fermer la porte à clé,,,,
item_502,item_502,gestures_adult,,no; yes,nettoyer avec un chiffon ou faire la poussière,,,,
item_503,item_503,gestures_adult,,no; yes,passer l'aspirateur,,,,
item_504,item_504,gestures_adult,,no; yes,taper à la machine à écrire ou sur le clavier de l'ordinateur,,,,
item_505,item_505,gestures_adult,,no; yes,utiliser une scie,,,,
item_506,item_506,gestures_parent,,no; yes,les bercer,,,,
item_507,item_507,gestures_parent,,no; yes,les couvrir avec une couverture,,,,
item_508,item_508,gestures_parent,,no; yes,les embrasser ou les tenir dans les bras,,,,
item_509,item_509,gestures_parent,,no; yes,les mettre au lit,,,,
item_510,item_510,gestures_parent,,no; yes,les mettre dans une poussette ou un landeau,,,,
item_511,item_511,gestures_parent,,no; yes,les taporter ou faire roter,,,,
item_512,item_512,gestures_parent,,no; yes,leur donner à boire avec un biberon,,,,
item_513,item_513,gestures_parent,,no; yes,leur donner à manger avec une cuillère,,,,
item_514,item_514,gestures_parent,,no; yes,leur essuyer le visage ou les mains,,,,
item_515,item_515,gestures_parent,,no; yes,"leur mettre des chaussettes, des chaussures ou un chapeau",,,,
item_516,item_516,gestures_parent,,no; yes,leur mettre des couches,,,,
item_517,item_517,gestures_parent,,no; yes,leur parler,,,,
item_518,item_518,gestures_parent,,no; yes,leur peigner/brosser les cheveux,,,,
item_519,item_519,word,vehicles,understands; produces,bateau,,,item_23,Véhicules ( vrais ou jouets)
item_520,item_520,word,vehicles,understands; produces,hélicoptère,,,item_24,Véhicules ( vrais ou jouets)
item_521,item_521,word,vehicles,understands; produces,traîneau,,,item_25,Véhicules ( vrais ou jouets)
item_522,item_522,word,vehicles,understands; produces,tracteur,,,item_26,Véhicules ( vrais ou jouets)
item_523,item_523,word,vehicles,understands; produces,tricycle,,,item_27,Véhicules ( vrais ou jouets)
item_524,item_524,word,toys,understands; produces,stylo,,,item_35,Jouets
item_525,item_525,word,toys,understands; produces,jouet,,,item_36,Jouets
item_526,item_526,word,toys,understands; produces,raquette,,,item_37,Jouets
item_527,item_527,word,toys,understands; produces,craie,,,item_38,Jouets
item_528,item_528,word,toys,understands; produces,jeu,,,item_39,Jouets
item_529,item_529,word,toys,understands; produces,colle,,,item_40,Jouets
item_530,item_530,word,toys,understands; produces,pâte à modeler,,,item_41,Jouets
item_531,item_531,word,toys,understands; produces,cadeau,,,item_42,Jouets
item_532,item_532,word,toys,understands; produces,puzzle,,,item_43,Jouets
item_533,item_533,word,toys,understands; produces,histoire,,,item_44,Jouets
item_534,item_534,word,toys,understands; produces,feutre,,,item_45,Jouets
item_535,item_535,word,animals,understands; produces,crocodile,,,item_83,Noms d'animaux (vrais ou jouets)
item_536,item_536,word,animals,understands; produces,fourmi,,,item_84,Noms d'animaux (vrais ou jouets)
item_537,item_537,word,animals,understands; produces,renne,,,item_86,Noms d'animaux (vrais ou jouets)
item_538,item_538,word,animals,understands; produces,coq,,,item_87,Noms d'animaux (vrais ou jouets)
item_539,item_539,word,animals,understands; produces,loup,,,item_88,Noms d'animaux (vrais ou jouets)
item_540,item_540,word,animals,understands; produces,zèbre,,,item_89,Noms d'animaux (vrais ou jouets)
item_541,item_541,word,food_drink,understands; produces,petits pots,,,item_95,Nourriture et boisson
item_542,item_542,word,food_drink,understands; produces,thon,,,item_124,Nourriture et boisson
item_543,item_543,word,food_drink,understands; produces,kiwi,,,item_125,Nourriture et boisson
item_544,item_544,word,food_drink,understands; produces,compote,,,item_126,Nourriture et boisson
item_545,item_545,word,food_drink,understands; produces,haricot,,,item_127,Nourriture et boisson
item_546,item_546,word,food_drink,understands; produces,chocolat,,,item_128,Nourriture et boisson
item_547,item_547,word,food_drink,understands; produces,coca,,,item_129,Nourriture et boisson
item_548,item_548,word,food_drink,understands; produces,maïs,,,item_130,Nourriture et boisson
item_549,item_549,word,food_drink,understands; produces,beignet,,,item_131,Nourriture et boisson
item_550,item_550,word,food_drink,understands; produces,frites,,,item_132,Nourriture et boisson
item_551,item_551,word,food_drink,understands; produces,haricots verts,,,item_133,Nourriture et boisson
item_552,item_552,word,food_drink,understands; produces,chewing-gum,,,item_134,Nourriture et boisson
item_553,item_553,word,food_drink,understands; produces,hamburger,,,item_135,Nourriture et boisson
item_554,item_554,word,food_drink,understands; produces,glaçon,,,item_136,Nourriture et boisson
item_555,item_555,word,food_drink,understands; produces,vitamines,,,item_137,Nourriture et boisson
item_556,item_556,word,food_drink,understands; produces,bonbons,,,item_138,Nourriture et boisson
item_557,item_557,word,food_drink,understands; produces,confiture,,,item_139,Nourriture et boisson
item_558,item_558,word,food_drink,understands; produces,yaourt,,,item_140,Nourriture et boisson
item_559,item_559,word,food_drink,understands; produces,sucette,,,item_141,Nourriture et boisson
item_560,item_560,word,food_drink,understands; produces,melon,,,item_142,Nourriture et boisson
item_561,item_561,word,food_drink,understands; produces,madeleine,,,item_143,Nourriture et boisson
item_562,item_562,word,food_drink,understands; produces,noisettes,,,item_144,Nourriture et boisson
item_563,item_563,word,food_drink,understands; produces,crêpe,,,item_145,Nourriture et boisson
item_564,item_564,word,food_drink,understands; produces,nutella,,,item_146,Nourriture et boisson
item_565,item_565,word,food_drink,understands; produces,mayonnaise,,,item_147,Nourriture et boisson
item_566,item_566,word,food_drink,understands; produces,pop-corn,,,item_148,Nourriture et boisson
item_567,item_567,word,food_drink,understands; produces,esquimau,,,item_149,Nourriture et boisson
item_568,item_568,word,food_drink,understands; produces,pomme de terre,,,item_150,Nourriture et boisson
item_569,item_569,word,food_drink,understands; produces,chips,,,item_151,Nourriture et boisson
item_570,item_570,word,food_drink,understands; produces,bretzel,,,item_152,Nourriture et boisson
item_571,item_571,word,food_drink,understands; produces,flan,,,item_153,Nourriture et boisson
item_572,item_572,word,food_drink,understands; produces,courge,,,item_154,Nourriture et boisson
item_573,item_573,word,food_drink,understands; produces,raisins secs,,,item_155,Nourriture et boisson
item_574,item_574,word,food_drink,understands; produces,sel,,,item_156,Nourriture et boisson
item_575,item_575,word,food_drink,understands; produces,sandwich,,,item_157,Nourriture et boisson
item_576,item_576,word,food_drink,understands; produces,sauce,,,item_158,Nourriture et boisson
item_577,item_577,word,food_drink,understands; produces,limonade,,,item_159,Nourriture et boisson
item_578,item_578,word,food_drink,understands; produces,fraise,,,item_160,Nourriture et boisson
item_579,item_579,word,food_drink,understands; produces,vanille,,,item_161,Nourriture et boisson
item_580,item_580,word,clothing,understands; produces,genouillère,,,item_172,Vêtements
item_581,item_581,word,body_parts,understands; produces,aïe,,,item_207,Parties du corps
item_582,item_582,word,body_parts,understands; produces,bobo,,,item_208,Parties du corps
item_583,item_583,word,body_parts,understands; produces,cheville,,,item_213,Parties du corps
item_584,item_584,word,body_parts,understands; produces,fesses,,,item_214,Parties du corps
item_585,item_585,word,body_parts,understands; produces,menton,,,item_215,Parties du corps
item_586,item_586,word,body_parts,understands; produces,lèvre,,,item_216,Parties du corps
item_587,item_587,word,body_parts,understands; produces,pénis/zizi…,,,item_217,Parties du corps
item_588,item_588,word,body_parts,understands; produces,vagin/zezette…,,,item_219,Parties du corps
item_589,item_589,word,furniture_rooms,understands; produces,cuisine,,,item_232,Meubles et pièces
item_590,item_590,word,furniture_rooms,understands; produces,étendage,,,item_245,Meubles et pièces
item_591,item_591,word,furniture_rooms,understands; produces,entrée,,,item_246,Meubles et pièces
item_592,item_592,word,furniture_rooms,understands; produces,douche,,,item_247,Meubles et pièces
item_593,item_593,word,furniture_rooms,understands; produces,pièce,,,item_248,Meubles et pièces
item_594,item_594,word,furniture_rooms,understands; produces,cave,,,item_249,Meubles et pièces
item_595,item_595,word,furniture_rooms,understands; produces,banc,,,item_250,Meubles et pièces
item_596,item_596,word,furniture_rooms,understands; produces,wc,,,item_251,Meubles et pièces
item_597,item_597,word,furniture_rooms,understands; produces,machine à laver,,,item_252,Meubles et pièces
item_598,item_598,word,games_routines,understands; produces,les courses,,,item_272,Jeux et routines
item_599,item_599,word,games_routines,understands; produces,goûter,,,item_273,Jeux et routines
item_600,item_600,word,games_routines,understands; produces,coup de fil,,,item_274,Jeux et routines
item_601,item_601,word,games_routines,understands; produces,top là,,,item_275,Jeux et routines
item_602,item_602,word,games_routines,understands; produces,je vais t'attraper,,,item_276,Jeux et routines
item_603,item_603,word,games_routines,understands; produces,va sur le pot,,,item_277,Jeux et routines
item_604,item_604,word,games_routines,understands; produces,tourne-toi,,,item_278,Jeux et routines
item_605,item_605,word,games_routines,understands; produces,ce petit cochon,,,item_279,Jeux et routines
item_606,item_606,word,places,understands; produces,camping,,,item_281,Endroits où aller
item_607,item_607,word,places,understands; produces,cirque,,,item_283,Endroits où aller
item_608,item_608,word,places,understands; produces,campagne,,,item_284,Endroits où aller
item_609,item_609,word,places,understands; produces,Centre-ville,,,item_285,Endroits où aller
item_610,item_610,word,places,understands; produces,ferme,,,item_286,Endroits où aller
item_611,item_611,word,places,understands; produces,station service,,,item_287,Endroits où aller
item_612,item_612,word,places,understands; produces,cinéma,,,item_289,Endroits où aller
item_613,item_613,word,places,understands; produces,pique-nique,,,item_293,Endroits où aller
item_614,item_614,word,places,understands; produces,terrain de jeux,,,item_294,Endroits où aller
item_615,item_615,word,places,understands; produces,forêt,,,item_297,Endroits où aller
item_616,item_616,word,prepositions,understands; produces,au sujet de,,,item_303,Prépositions et localisations
item_617,item_617,word,prepositions,understands; produces,au dessus de,,,item_304,Prépositions et localisations
item_618,item_618,word,prepositions,understands; produces,autour de,,,item_305,Prépositions et localisations
item_619,item_619,word,prepositions,understands; produces,à,,,item_306,Prépositions et localisations
item_620,item_620,word,prepositions,understands; produces,à côté de,,,item_309,Prépositions et localisations
item_621,item_621,word,prepositions,understands; produces,chez,,,item_310,Prépositions et localisations
item_622,item_622,word,prepositions,understands; produces,pour,,,item_312,Prépositions et localisations
item_623,item_623,word,prepositions,understands; produces,ici,,,item_313,Prépositions et localisations
item_624,item_624,word,prepositions,understands; produces,à l'intérieur de,,,item_314,Prépositions et localisations
item_625,item_625,word,prepositions,understands; produces,près de,,,item_316,Prépositions et localisations
item_626,item_626,word,prepositions,understands; produces,de,,,item_317,Prépositions et localisations
item_627,item_627,word,prepositions,understands; produces,au loin,,,item_318,Prépositions et localisations
item_628,item_628,word,prepositions,understands; produces,au sommet de,,,item_320,Prépositions et localisations
item_629,item_629,word,prepositions,understands; produces,par dessus,,,item_322,Prépositions et localisations
item_630,item_630,word,prepositions,understands; produces,vers,,,item_324,Prépositions et localisations
item_631,item_631,word,prepositions,understands; produces,avec,,,item_327,Prépositions et localisations
item_632,item_632,word,question_words,understands; produces,le/la/les/quel(les),,,item_335,Interrogatifs
item_633,item_633,word,quantifiers,understands; produces,aucun/e,,,item_343,Quantificateurs et articles
item_634,item_634,word,quantifiers,understands; produces,un/une,,,item_344,Quantificateurs et articles
item_635,item_635,word,quantifiers,understands; produces,plein/beaucoup,,,item_345,Quantificateurs et articles
item_636,item_636,word,quantifiers,understands; produces,du/de la/des,,,item_346,Quantificateurs et articles
item_637,item_637,word,quantifiers,understands; produces,chaque,,,item_347,Quantificateurs et articles
item_638,item_638,word,quantifiers,understands; produces,autre,,,item_348,Quantificateurs et articles
item_639,item_639,word,quantifiers,understands; produces,aussi,,,item_349,Quantificateurs et articles
item_640,item_640,word,quantifiers,understands; produces,le/la/les,,,item_350,Quantificateurs et articles
item_641,item_641,word,pronouns,understands; produces,Il,,,item_359,Pronoms
item_642,item_642,word,pronouns,understands; produces,ses,,,item_360,Pronoms
item_643,item_643,word,pronouns,understands; produces,lui,,,item_361,Pronoms
item_644,item_644,word,pronouns,understands; produces,moi-même,,,item_362,Pronoms
item_645,item_645,word,pronouns,understands; produces,notre,,,item_363,Pronoms
item_646,item_646,word,pronouns,understands; produces,elle,,,item_364,Pronoms
item_647,item_647,word,pronouns,understands; produces,leur,,,item_365,Pronoms
item_648,item_648,word,pronouns,understands; produces,ces,,,item_366,Pronoms
item_649,item_649,word,pronouns,understands; produces,ils/elles,,,item_367,Pronoms
item_650,item_650,word,pronouns,understands; produces,ceux,,,item_368,Pronoms
item_651,item_651,word,pronouns,understands; produces,nous,,,item_369,Pronoms
item_652,item_652,word,pronouns,understands; produces,on,,,item_370,Pronoms
item_653,item_653,word,pronouns,understands; produces,toi-même,,,item_371,Pronoms
item_654,item_654,word,time_words,understands; produces,après,,,item_373,Mots sur le temps
item_655,item_655,word,time_words,understands; produces,avant,,,item_380,Mots sur le temps
item_656,item_656,word,time_words,understands; produces,heure,,,item_381,Mots sur le temps
item_657,item_657,word,time_words,understands; produces,hier,,,item_382,Mots sur le temps
item_658,item_658,word,connecting_words,understands; produces,et,,,item_383,Connecteurs
item_659,item_659,word,connecting_words,understands; produces,parce que,,,item_384,Connecteurs
item_660,item_660,word,connecting_words,understands; produces,mais,,,item_385,Connecteurs
item_661,item_661,word,connecting_words,understands; produces,si,,,item_386,Connecteurs
item_662,item_662,word,connecting_words,understands; produces,donc,,,item_387,Connecteurs
item_663,item_663,word,connecting_words,understands; produces,alors,,,item_388,Connecteurs
item_664,item_664,word,outside,understands; produces,rocher,,,item_389,Objets extérieurs
item_665,item_665,word,outside,understands; produces,nuage,,,item_390,Objets extérieurs
item_666,item_666,word,outside,understands; produces,drapeau,,,item_391,Objets extérieurs
item_667,item_667,word,outside,understands; produces,herbe,,,item_394,Objets extérieurs
item_668,item_668,word,outside,understands; produces,tuyau,,,item_396,Objets extérieurs
item_669,item_669,word,outside,understands; produces,échelle,,,item_397,Objets extérieurs
item_670,item_670,word,outside,understands; produces,tondeuse à gazon,,,item_398,Objets extérieurs
item_671,item_671,word,outside,understands; produces,toit,,,item_402,Objets extérieurs
item_672,item_672,word,outside,understands; produces,bac à sable,,,item_404,Objets extérieurs
item_673,item_673,word,outside,understands; produces,trottoir,,,item_407,Objets extérieurs
item_674,item_674,word,outside,understands; produces,bonhomme de neige,,,item_413,Objets extérieurs
item_675,item_675,word,outside,understands; produces,arrosoir,,,item_414,Objets extérieurs
item_676,item_676,word,outside,understands; produces,bâton,,,item_415,Objets extérieurs
item_677,item_677,word,outside,understands; produces,pierre,,,item_416,Objets extérieurs
item_678,item_678,word,outside,understands; produces,rue/route,,,item_417,Objets extérieurs
item_679,item_679,word,outside,understands; produces,vent,,,item_418,Objets extérieurs
item_680,item_680,word,people,understands; produces,monsieur,,,item_438,Personnes
item_681,item_681,word,people,understands; produces,clown,,,item_439,Personnes
item_682,item_682,word,people,understands; produces,docteur,,,item_440,Personnes
item_683,item_683,word,people,understands; produces,pompier,,,item_441,Personnes
item_684,item_684,word,people,understands; produces,copain/ine,,,item_442,Personnes
item_685,item_685,word,people,understands; produces,facteur,,,item_443,Personnes
item_686,item_686,word,people,understands; produces,infirmière,,,item_444,Personnes
item_687,item_687,word,people,understands; produces,police,,,item_445,Personnes
item_688,item_688,word,people,understands; produces,nom de l'animal domestique,,,item_446,Personnes
item_689,item_689,word,helping_verbs,understands; produces,suis,,,item_447,Auxiliaires
item_690,item_690,word,helping_verbs,understands; produces,sont,,,item_448,Auxiliaires
item_691,item_691,word,helping_verbs,understands; produces,être,,,item_449,Auxiliaires
item_692,item_692,word,helping_verbs,understands; produces,est,,,item_450,Auxiliaires
item_693,item_693,word,helping_verbs,understands; produces,peux,,,item_451,Auxiliaires
item_694,item_694,word,helping_verbs,understands; produces,pourrait,,,item_452,Auxiliaires
item_695,item_695,word,helping_verbs,understands; produces,a fait,,,item_453,Auxiliaires
item_696,item_696,word,helping_verbs,understands; produces,faire,,,item_454,Auxiliaires
item_697,item_697,word,helping_verbs,understands; produces,fait,,,item_455,Auxiliaires
item_698,item_698,word,helping_verbs,understands; produces,ne pas,,,item_456,Auxiliaires
item_699,item_699,word,helping_verbs,understands; produces,devoir faire,,,item_458,Auxiliaires
item_700,item_700,word,helping_verbs,understands; produces,avoir à faire,,,item_459,Auxiliaires
item_701,item_701,word,helping_verbs,understands; produces,laisse-moi,,,item_460,Auxiliaires
item_702,item_702,word,helping_verbs,understands; produces,avoir besoin de,,,item_461,Auxiliaires
item_703,item_703,word,helping_verbs,understands; produces,essayer de,,,item_462,Auxiliaires
item_704,item_704,word,helping_verbs,understands; produces,vouloir,,,item_463,Auxiliaires
