definition,uni_lemma,gloss,category,item,type,choices,complexity_category,itemID
Kumanda,,remote control,household,Kumanda,word,produces,,item_231
Lamba/Işık,,lamp/light,household,Lamba/Isik,word,produces,,item_232
Mendil,,tissue/handkerchief,household,Mendil,word,produces,,item_233
Pamuk,,cotton,household,Pamuk,word,produces,,item_234
Peçete,,napkin,household,Pecete,word,produces,,item_235
Perde,,curtain,household,Perde,word,produces,,item_236
Radyo,,radio,household,Radyo,word,produces,,item_237
Resim,,picture,household,Resim,word,produces,,item_238
Saat,,clock,household,Saat,word,produces,,item_239
Sabun,,soap,household,Sabun,word,produces,,item_240
Süpürge,,broom/vacuum cleaner,household,Supurge,word,produces,,item_241
Şemsiye,,umbrella,household,Semsiye,word,produces,,item_242
Tabak,,plate,household,Tabak,word,produces,,item_243
Tarak,,comb,household,Tarak,word,produces,,item_244
Telefon,,telephone,household,Telefon,word,produces,,item_245
Ütü,,iron,household,Utu,word,produces,,item_246
Balkon,,balcony,furniture_rooms,Balkon,word,produces,,item_247
Banyo (object),,bathroom,furniture_rooms,Banyo,word,produces,,item_248
Bilgisayar,,computer,furniture_rooms,Bilgisayar,word,produces,,item_249
Buzdolabı,,refrigerator,furniture_rooms,Buzdolabi,word,produces,,item_250
Dolap,,cupboard,furniture_rooms,Dolap,word,produces,,item_251
Duş,,shower,furniture_rooms,Dus,word,produces,,item_252
Fırın,,oven,furniture_rooms,Firin,word,produces,,item_253
Kalorifer,,radiator,furniture_rooms,Kalorifer,word,produces,,item_254
Halı,,carpet,furniture_rooms,Hali,word,produces,,item_255
Kapı,,door,furniture_rooms,Kapi,word,produces,,item_256
Koltuk,,armchair,furniture_rooms,Koltuk,word,produces,,item_257
Lazımlık/Oturak,,potty,furniture_rooms,Lazimlik/Oturak,word,produces,,item_258
Masa,,table,furniture_rooms,Masa,word,produces,,item_259
Merdiven,,stairs,furniture_rooms,Merdiven,word,produces,,item_260
Mutfak,,kitchen,furniture_rooms,Mutfak,word,produces,,item_261
Ocak,,oven/stove,furniture_rooms,Ocak,word,produces,,item_262
Pencere,,window,furniture_rooms,Pencere,word,produces,,item_263
Oda,,room,furniture_rooms,Oda,word,produces,,item_264
Salon,,living room,furniture_rooms,Salon,word,produces,,item_265
Sandalye/İskemle,,chair,furniture_rooms,Sandalye/Iskemle,word,produces,,item_266
Sehpa,,coffee table,furniture_rooms,Sehpa,word,produces,,item_267
Televizyon/TV,,TV,furniture_rooms,Televizyon/TV,word,produces,,item_268
Tuvalet,,toilet,furniture_rooms,Tuvalet,word,produces,,item_269
Yatak,,bed,furniture_rooms,Yatak,word,produces,,item_270
Yastık,,pillow,furniture_rooms,Yastik,word,produces,,item_271
Zil,,bell,furniture_rooms,Zil,word,produces,,item_272
Yorgan,,comforter/quilt,furniture_rooms,Yorgan,word,produces,,item_273
Ay/Aydede,,moon,outside,Ay/Aydede,word,produces,,item_274
Ağaç,,tree,outside,Agac,word,produces,,item_275
Ateş,,fire,outside,Ates,word,produces,,item_276
Bahçe,,garden,outside,Bahce,word,produces,,item_277
Bulut,,cloud,outside,Bulut,word,produces,,item_278
Bayrak,,flag,outside,Bayrak,word,produces,,item_279
Çamur,,mud,outside,Camur,word,produces,,item_280
Çiçek,,flower,outside,Cicek,word,produces,,item_281
Çimen,,grass,outside,Cimen,word,produces,,item_282
Dağ,,mountain,outside,Dag,word,produces,,item_283
Dal,,branch,outside,Dal,word,produces,,item_284
Duman,,smoke,outside,Duman,word,produces,,item_285
Duvar,,wall,outside,Duvar,word,produces,,item_286
Dünya,,earth,outside,Dunya,word,produces,,item_287
Fotoğraf,,photograph,outside,Fotograf,word,produces,,item_288
Garaj,,garage,outside,Garaj,word,produces,,item_289
Göl,,lake,outside,Gol,word,produces,,item_290
Güneş,,sun,outside,Gunes,word,produces,,item_291
Kar,,snow,outside,Kar,word,produces,,item_292
Kaydırak,,slide,outside,Kaydirak,word,produces,,item_293
Kaza,,accident,outside,Kaza,word,produces,,item_294
