itemID,item,type,category,choices,uni_lemma,definition,gloss,complexity_category
item_269,a07_41,word,household,produces,,,fan,
item_270,a07_42,word,household,produces,,,camera,
item_271,a07_43,word,household,produces,,,remote control,
item_272,a07_44,word,household,produces,,,bag,
item_273,a07_45,word,household,produces,,,sack,
item_274,a07_46,word,household,produces,,,knife,
item_275,a07_47,word,household,produces,,,fork,
item_276,a07_48,word,household,produces,,,photo,
item_277,a07_49,word,household,produces,,,plug,
item_278,a07_50,word,household,produces,,,basket,
item_279,a07_51,word,household,produces,,,mop,
item_280,a07_52,word,household,produces,,,disk,
item_281,a07_53,word,household,produces,,,brush,
item_282,a07_54,word,household,produces,,,bucket,
item_283,a07_55,word,household,produces,,,glasses,
item_284,a07_56,word,household,produces,,,jar,
item_285,a07_57,word,household,produces,,,water bottle,
item_286,a07_58,word,household,produces,,,nail,
item_287,a08_01,word,furniture_rooms,produces,,,chair,
item_288,a08_02,word,furniture_rooms,produces,,,door,
item_289,a08_03,word,furniture_rooms,produces,,,table,
item_290,a08_04,word,furniture_rooms,produces,,,bed,
item_291,a08_05,word,furniture_rooms,produces,,,water closet,
item_292,a08_06,word,furniture_rooms,produces,,,stair,
item_293,a08_07,word,furniture_rooms,produces,,,window,
item_294,a08_08,word,furniture_rooms,produces,,,living room,
item_295,a08_09,word,furniture_rooms,produces,,,kitchen,
item_296,a08_10,word,furniture_rooms,produces,,,drawer,
item_297,a08_11,word,furniture_rooms,produces,,,elevator,
item_298,a08_12,word,furniture_rooms,produces,,,sofa,
item_299,a08_13,word,furniture_rooms,produces,,,bedroom,
item_300,a08_14,word,furniture_rooms,produces,,,bathroom,
item_301,a08_15,word,furniture_rooms,produces,,,sink,
item_302,a08_16,word,furniture_rooms,produces,,,crib,
item_303,a08_17,word,furniture_rooms,produces,,,potty,
item_304,a08_18,word,furniture_rooms,produces,,,computer,
item_305,a08_19,word,furniture_rooms,produces,,,room,
item_306,a08_20,word,furniture_rooms,produces,,,washing machine,
item_307,a08_21,word,furniture_rooms,produces,,,floor,
item_308,a08_22,word,furniture_rooms,produces,,,cupboard,
item_309,a08_23,word,furniture_rooms,produces,,,bathtub,
item_310,a08_24,word,furniture_rooms,produces,,,wardrobe,
item_311,a08_25,word,furniture_rooms,produces,,,dining table,
item_312,a08_26,word,furniture_rooms,produces,,,oven,
item_313,a08_27,word,furniture_rooms,produces,,,balcony,
item_314,a09_01,word,outside,produces,,,flower,
item_315,a09_02,word,outside,produces,,,rain,
item_316,a09_03,word,outside,produces,,,slide,
item_317,a09_04,word,outside,produces,,,tree,
