itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_327,TOMATO,word,food_drink,produces,TOMATO,NA,tomato,tomato
item_328,VANILLA,word,food_drink,produces,VANILLA,NA,vanilla,vanilla
item_329,VITAMINS,word,food_drink,produces,VITAMINS,NA,vitamins,vitamin
item_330,WAFFLE,word,food_drink,produces,WAFFLE,NA,waffle,waffle
item_331,WATER,word,food_drink,produces,WATER,NA,water,water (beverage)
item_331,WATER,word,food_drink,produces,WATER,NA,water,water (not beverage)
item_332,WATERMELON,word,food_drink,produces,WATERMELON,NA,watermelon,watermelon
item_333,AND,word,connecting_words,produces,AND,NA,and,and
item_334,BECAUSE,word,connecting_words,produces,BECAUSE,NA,because,because
item_335,BUT,word,connecting_words,produces,BUT,NA,but,but
item_336,IF_SUPPOSE,word,connecting_words,produces,IF/SUPPOSE,NA,if/suppose,if
item_337,ABOVE,word,locations,produces,ABOVE,NA,above,above
item_338,BACK,word,locations,produces,BACK,NA,back,back
item_339,BEHIND,word,locations,produces,BEHIND,NA,behind,behind
item_340,DOWN,word,locations,produces,DOWN,NA,down,down
item_341,FOR,word,locations,produces,FOR,NA,for,for
item_342,FRONT,word,locations,produces,FRONT,NA,front,front
item_343,HERE,word,locations,produces,HERE,NA,here,here
item_344,INSIDE_IN,word,locations,produces,INSIDE/IN,NA,inside/in,in
item_345,NEXT_TO,word,locations,produces,NEXT-TO,NA,next-to,beside
item_346,OFF,word,locations,produces,OFF,NA,off,off
item_347,ON,word,locations,produces,ON,NA,on,on
item_348,OUT,word,locations,produces,OUT,NA,out,out
item_349,OVER,word,locations,produces,OVER,NA,over,above
item_350,TO,word,locations,produces,TO,NA,to,to
item_351,UNDER,word,locations,produces,UNDER,NA,under,under
item_352,UP,word,locations,produces,UP,NA,up,up
item_353,WITH,word,locations,produces,WITH,NA,with,with
item_354,BACKYARD_YARD,word,outside,produces,BACKYARD/YARD,NA,backyard/yard,yard
item_355,CLOUD,word,outside,produces,CLOUD,NA,cloud,cloud
item_356,FLAG,word,outside,produces,FLAG,NA,flag,flag
item_357,FLOWER,word,outside,produces,FLOWER,NA,flower,flower
item_358,FOREST_WOODS,word,outside,produces,FOREST,NA,forest/woods,forest
item_359,GRASS,word,outside,produces,GRASS,NA,grass,grass
item_360,HOSE,word,outside,produces,HOSE,NA,hose,hose
item_361,LADDER,word,outside,produces,LADDER,NA,ladder,ladder
item_362,LAWN_MOWER,word,outside,produces,LAWN MOWER,NA,lawn mower,lawn mower
item_363,LIGHTNING,word,outside,produces,LIGHTNING,NA,lightning,lightning
item_364,MOON,word,outside,produces,MOON,NA,moon,moon
item_365,RAIN,word,outside,produces,RAIN,NA,rain,rain
item_366,ROCK,word,outside,produces,ROCK,NA,rock,rock (object)
item_367,SHOVEL,word,outside,produces,SHOVEL,NA,shovel,shovel
item_368,SNOW,word,outside,produces,SNOW,NA,snow,snow
item_369,SNOWMAN,word,outside,produces,SNOWMAN,NA,snowman,snowman
item_370,SPRINKLER,word,outside,produces,SPRINKLER,NA,sprinkler,sprinkler
item_371,STAR,word,outside,produces,STAR,NA,star,star
item_372,STREET,word,outside,produces,STREET,NA,street,street
item_373,SUN,word,outside,produces,SUN,NA,sun,sun
item_374,TREE,word,outside,produces,TREE,NA,tree,tree
item_375,HE_SHE_IT,word,pronouns,produces,HE/SHE/IT,NA,he/she/it,3SG
item_376,HIS_HERS,word,pronouns,produces,HIS/HERS,NA,his/hers,3SG.POSS
item_377,ME,word,pronouns,produces,ME,NA,me,1SG
item_378,MY_MINE,word,pronouns,produces,MINE/MY,NA,my/mine,1SG.POSS
item_379,MYSELF,word,pronouns,produces,MYSELF,NA,myself,1SG.REFL
item_380,OUR,word,pronouns,produces,OUR,NA,our,1PL.POSS
item_381,THAT,word,pronouns,produces,THAT/THESE,NA,that,that
item_382,THEIR,word,pronouns,produces,THEIR,NA,their,3PL.POSS
item_383,THEY,word,pronouns,produces,THEY,NA,they,3PL
