definition,category,item,type,choices,complexity_category,itemID,new_lemma,gloss,uni_lemma
morfar,people,morfar,word,produces,NA,item_401,grandpa,grandpa,grandpa
mormor,people,mormor,word,produces,NA,item_402,grandma,grandma,grandma
moster,people,moster,word,produces,NA,item_403,aunt,aunt,aunt
människor,people,manniskor,word,produces,NA,item_404,people,people,people
pappa,people,pappa,word,produces,NA,item_405,daddy,daddy,daddy
pojke,people,pojke,word,produces,NA,item_406,boy,boy,boy
polis,people,polis,word,produces,NA,item_407,NA,police,police
sjuksköterska,people,sjukskoterska,word,produces,NA,item_408,NA,nurse,nurse
syster,people,syster,word,produces,NA,item_409,sister,sister,sister
tomte,people,tomte,word,produces,NA,item_410,NA,Santa Claus,NA
bada,games_routines,bada,word,produces,NA,item_411,bath,bath,bath
baka kaka,games_routines,baka_kaka,word,produces,NA,item_412,pattycake,patty cake,pattycake
frukost,games_routines,frukost,word,produces,NA,item_413,breakfast,breakfast,breakfast
god natt,games_routines,god_natt,word,produces,NA,item_414,good night,good night,good night
handla,games_routines,handla,word,produces,NA,item_415,NA,shop,shopping
hej,games_routines,hej,word,produces,NA,item_416,hi,hello,hi
hej då,games_routines,hej_da,word,produces,NA,item_417,bye,good bye,bye
inte,games_routines,inte,word,produces,NA,item_418,NA,not,don't
ja,games_routines,ja,word,produces,NA,item_419,yes,yes,yes
lunch,games_routines,lunch,word,produces,NA,item_420,lunch,lunch,lunch
mellanmål,games_routines,mellanmal,word,produces,NA,item_421,NA,snack,snack
middag,games_routines,middag,word,produces,NA,item_422,dinner,dinner,dinner
nej,games_routines,nej,word,produces,NA,item_423,no,no,no
ringa,games_routines,ringa,word,produces,NA,item_424,NA,call,call
sitta pottan,games_routines,sitta_pottan,word,produces,NA,item_425,NA,sit potty,go potty
sova middag,games_routines,sova_middag,word,produces,NA,item_426,nap,nap,nap
sch/hysch,games_routines,sch/hysch,word,produces,NA,item_427,NA,shh/shush/hush,shh
tack,games_routines,tack,word,produces,NA,item_428,thank you,thank you,thank you
tittut,games_routines,tittut,word,produces,NA,item_429,peekaboo,peekaboo,peekaboo
varsågod,games_routines,varsagod,word,produces,NA,item_430,please,please,please
vill,games_routines,vill,word,produces,NA,item_431,NA,want,wanna
vill ha,games_routines,vill_ha,word,produces,NA,item_432,NA,wanna/want to,wanna
vänd dig om,games_routines,vand_dig_om,word,produces,NA,item_433,NA,turn around,NA
vänta,games_routines,vanta,word,produces,NA,item_434,wait,wait,wait
arbeta,action_words,arbeta,word,produces,NA,item_435,NA,work,work (action)
backa,action_words,backa,word,produces,NA,item_436,NA,reverse,reverse
bajsa,action_words,bajsa,word,produces,NA,item_437,NA,poo-poo,poop
bita,action_words,bita,word,produces,NA,item_438,bite,bite,bite
blåsa,action_words,blasa,word,produces,NA,item_439,blow,blow,blow
bryta,action_words,bryta,word,produces,NA,item_440,break,break,break
bygga,action_words,bygga,word,produces,NA,item_441,NA,build,build
bära,action_words,bara,word,produces,NA,item_442,NA,carry,carry
dansa,action_words,dansa,word,produces,NA,item_443,dance,dance,dance
dela,action_words,dela,word,produces,NA,item_444,NA,share,share
dra,action_words,dra,word,produces,NA,item_445,pull,pull,pull
dricka,action_words,dricka,word,produces,NA,item_446,drink (action),drink,drink (action)
falla,action_words,falla,word,produces,NA,item_447,fall,fall,fall
flyga,action_words,flyga,word,produces,NA,item_448,NA,fly,fly (action)
få,action_words,fa,word,produces,NA,item_449,NA,get,get
gapa,action_words,gapa,word,produces,NA,item_450,NA,open the mouth,NA
ge,action_words,ge,word,produces,NA,item_451,give,give,give
gråta,action_words,grata,word,produces,NA,item_452,cry,cry,cry
gräva,action_words,grava,word,produces,NA,item_453,NA,dig,dig
gunga (action),action_words,gunga,word,produces,NA,item_454,swing (action),swing,swing (action)
gå,action_words,ga,word,produces,NA,item_455,walk,go,walk
gömma,action_words,gomma,word,produces,NA,item_456,NA,hide,hide
göra,action_words,gora,word,produces,NA,item_457,NA,do,do
heta,action_words,heta,word,produces,NA,item_458,NA,call,call
hitta,action_words,hitta,word,produces,NA,item_459,NA,find,find
hjälpa,action_words,hjalpa,word,produces,NA,item_460,help,help,help
hoppa,action_words,hoppa,word,produces,NA,item_461,jump,jump,jump
hålla,action_words,halla,word,produces,NA,item_462,NA,hold,hold
hälla,action_words,halla,word,produces,NA,item_463,NA,pour,pour
hämta,action_words,hamta,word,produces,NA,item_464,get,get,get
höra,action_words,hora,word,produces,NA,item_465,NA,hear,hear
jaga,action_words,jaga,word,produces,NA,item_466,NA,hunt,hunt
kasta,action_words,kasta,word,produces,NA,item_467,throw,throw,throw
kissa,action_words,kissa,word,produces,NA,item_468,NA,pee,pee
kittla,action_words,kittla,word,produces,NA,item_469,tickle,tickle,tickle
klappa,action_words,klappa,word,produces,NA,item_470,NA,pat,pat
klippa,action_words,klippa,word,produces,NA,item_471,NA,cut,cut
klättra,action_words,klattra,word,produces,NA,item_472,NA,climb,climb
knuffa,action_words,knuffa,word,produces,NA,item_473,push,push,push
koka,action_words,koka,word,produces,NA,item_474,NA,boil,boil
krama,action_words,krama,word,produces,NA,item_475,hug,hug,hug
köpa,action_words,kopa,word,produces,NA,item_476,NA,buy,buy
köra,action_words,kora,word,produces,NA,item_477,drive,drive,drive
laga,action_words,laga,word,produces,NA,item_478,NA,fix,fix
le,action_words,le,word,produces,NA,item_479,smile,smile,smile
leka,action_words,leka,word,produces,NA,item_480,play,play,play
lyssna,action_words,lyssna,word,produces,NA,item_481,NA,listen,listen
låtsas,action_words,latsas,word,produces,NA,item_482,NA,pretend,pretend
lägga,action_words,lagga,word,produces,NA,item_483,NA,lay,lay
läsa,action_words,lasa,word,produces,NA,item_484,read,read,read
mata,action_words,mata,word,produces,NA,item_485,feed,feed,feed
måla,action_words,mala,word,produces,NA,item_486,NA,paint,paint (action)
plaska,action_words,plaska,word,produces,NA,item_487,splash,splash,splash
plocka,action_words,plocka,word,produces,NA,item_488,NA,pick,pick
prata,action_words,prata,word,produces,NA,item_489,NA,talk,talk
pussa,action_words,pussa,word,produces,NA,item_490,kiss,kiss,kiss
ramla,action_words,ramla,word,produces,NA,item_491,NA,fall,fall
rita,action_words,rita,word,produces,NA,item_492,draw,draw,draw
riva,action_words,riva,word,produces,NA,item_493,NA,tear,tear
röra,action_words,rora,word,produces,NA,item_494,touch,touch,touch
se,action_words,se,word,produces,NA,item_495,see,see,see
simma,action_words,simma,word,produces,NA,item_496,swim,swim,swim
sitta,action_words,sitta,word,produces,NA,item_497,NA,sit,sit
sjunga,action_words,sjunga,word,produces,NA,item_498,sing,sing,sing
skaka,action_words,skaka,word,produces,NA,item_499,NA,shake,shake
skoja,action_words,skoja,word,produces,NA,item_500,NA,joke,joke
skriva,action_words,skriva,word,produces,NA,item_501,write,write,write
skynda,action_words,skynda,word,produces,NA,item_502,hurry,rush,hurry
skära,action_words,skara,word,produces,NA,item_503,NA,cut,cut
slicka,action_words,slicka,word,produces,NA,item_504,NA,lick,lick
sluta,action_words,sluta,word,produces,NA,item_505,stop,stop,stop
slå,action_words,sla,word,produces,NA,item_506,hit,beat,hit
slänga,action_words,slanga,word,produces,NA,item_507,NA,throw,throw
smaka,action_words,smaka,word,produces,NA,item_508,NA,taste,taste
sopa,action_words,sopa,word,produces,NA,item_509,NA,sweep,sweep
sova,action_words,sova,word,produces,NA,item_510,sleep,sleep,sleep
sparka,action_words,sparka,word,produces,NA,item_511,kick,kick,kick
spela,action_words,spela,word,produces,NA,item_512,NA,play,play
spilla,action_words,spilla,word,produces,NA,item_513,NA,spill,spill
springa,action_words,springa,word,produces,NA,item_514,run,run,run
stanna,action_words,stanna,word,produces,NA,item_515,stop,stop,stop
stå,action_words,sta,word,produces,NA,item_516,NA,stand,stand
städa,action_words,stada,word,produces,NA,item_517,clean (action),clean,clean (action)
ställa,action_words,stalla,word,produces,NA,item_518,NA,stand,set
stänga,action_words,stanga,word,produces,NA,item_519,close,close,close
säga,action_words,saga,word,produces,NA,item_520,say,say,say
sätta,action_words,satta,word,produces,NA,item_521,put,put,put
tala,action_words,tala,word,produces,NA,item_522,NA,speak,speak
tanka,action_words,tanka,word,produces,NA,item_523,NA,fill,fill
tappa,action_words,tappa,word,produces,NA,item_524,NA,drop,drop
titta,action_words,titta,word,produces,NA,item_525,look,look,look
torka,action_words,torka,word,produces,NA,item_526,NA,dry,dry (action)
tvätta,action_words,tvatta,word,produces,NA,item_527,wash,clean,wash
tycka,action_words,tycka,word,produces,NA,item_528,NA,like,like
tända,action_words,tanda,word,produces,NA,item_529,NA,light,light (action)
tänka,action_words,tanka,word,produces,NA,item_530,NA,think,think
vakna,action_words,vakna,word,produces,NA,item_531,NA,wake,wake
visa,action_words,visa,word,produces,NA,item_532,show,show,show
vänta,action_words,vanta,word,produces,NA,item_533,NA,wait,wait
åka,action_words,aka,word,produces,NA,item_534,go,go,go
älska,action_words,alska,word,produces,NA,item_535,NA,love,love
äta,action_words,ata,word,produces,NA,item_536,eat,eat,eat
önska,action_words,onska,word,produces,NA,item_537,NA,wish,wish
öppna,action_words,oppna,word,produces,NA,item_538,open (action),open,open (action)
arg,descriptive_words,arg,word,produces,NA,item_539,NA,angry,angry
blå,descriptive_words,bla,word,produces,NA,item_540,blue,blue,blue
blåsig,descriptive_words,blasig,word,produces,NA,item_541,NA,windy,windy
borta,descriptive_words,borta,word,produces,NA,item_542,all gone,allgone,all gone
brun,descriptive_words,brun,word,produces,NA,item_543,NA,brown,brown
bullrig,descriptive_words,bullrig,word,produces,NA,item_544,NA,noisy,noisy
bättre,descriptive_words,battre,word,produces,NA,item_545,NA,better,better
dum,descriptive_words,dum,word,produces,NA,item_546,NA,stupid,stupid
dålig,descriptive_words,dalig,word,produces,NA,item_547,bad,bad,bad
fattig,descriptive_words,fattig,word,produces,NA,item_548,NA,poor,poor
fin,descriptive_words,fin,word,produces,NA,item_549,fine,nice,fine
fort,descriptive_words,fort,word,produces,NA,item_550,fast,quick,fast
full,descriptive_words,full,word,produces,NA,item_551,NA,full,full
försiktig,descriptive_words,forsiktig,word,produces,NA,item_552,careful,careful,careful
först,descriptive_words,forst,word,produces,NA,item_553,NA,first,first
gammal,descriptive_words,gammal,word,produces,NA,item_554,old,old,old
glad,descriptive_words,glad,word,produces,NA,item_555,happy,glad,happy
god,descriptive_words,god,word,produces,NA,item_556,good,god,good
grön,descriptive_words,gron,word,produces,NA,item_557,NA,green,green
gul,descriptive_words,gul,word,produces,NA,item_558,NA,yellow,yellow
gullig,descriptive_words,gullig,word,produces,NA,item_559,NA,cute,cute
hungrig,descriptive_words,hungrig,word,produces,NA,item_560,hungry,hungry,hungry
hård,descriptive_words,hard,word,produces,NA,item_561,hard,hard,hard
hög,descriptive_words,hog,word,produces,NA,item_562,NA,high,high
kall,descriptive_words,kall,word,produces,NA,item_563,cold,cold,cold
ledsen,descriptive_words,ledsen,word,produces,NA,item_564,NA,sorry,sorry
liten,descriptive_words,liten,word,produces,NA,item_565,NA,little,little (description)
lång,descriptive_words,lang,word,produces,NA,item_566,NA,long,long
mjuk,descriptive_words,mjuk,word,produces,NA,item_567,soft,soft,soft
mörk,descriptive_words,mork,word,produces,NA,item_568,dark,dark,dark
ny,descriptive_words,ny,word,produces,NA,item_569,NA,new,new
orange,descriptive_words,orange,word,produces,NA,item_570,NA,orange,orange (description)
ren,descriptive_words,ren,word,produces,NA,item_571,clean (description),clean,clean (description)
rädd,descriptive_words,radd,word,produces,NA,item_572,NA,afraid,afraid
röd,descriptive_words,rod,word,produces,NA,item_573,red,red,red
sakta,descriptive_words,sakta,word,produces,NA,item_574,NA,slowly,slowly
sist,descriptive_words,sist,word,produces,NA,item_575,NA,last,last
sjuk,descriptive_words,sjuk,word,produces,NA,item_576,sick,sick,sick
smutsig,descriptive_words,smutsig,word,produces,NA,item_577,dirty,dirty,dirty
snabb,descriptive_words,snabb,word,produces,NA,item_578,quick,fast,quick
snäll,descriptive_words,snall,word,produces,NA,item_579,NA,kind,nice
stor,descriptive_words,stor,word,produces,NA,item_580,big,big,big
stygg,descriptive_words,stygg,word,produces,NA,item_581,naughty,naughty,naughty
svart,descriptive_words,svart,word,produces,NA,item_582,NA,black,black
svår,descriptive_words,svar,word,produces,NA,item_583,hard,difficult,hard
sömning,descriptive_words,somning,word,produces,NA,item_584,NA,sleepy,sleepy
sönder,descriptive_words,sonder,word,produces,NA,item_585,NA,broken,broken
söt,descriptive_words,sot,word,produces,NA,item_586,sweet,sweet,sweet
tom,descriptive_words,tom,word,produces,NA,item_587,empty,empty,empty
torr,descriptive_words,torr,word,produces,NA,item_588,dry (description),dry,dry (description)
trasig,descriptive_words,trasig,word,produces,NA,item_589,broken,torn,broken
trevlig,descriptive_words,trevlig,word,produces,NA,item_590,nice,nice,nice
trött,descriptive_words,trott,word,produces,NA,item_591,tired,tired,tired
tung,descriptive_words,tung,word,produces,NA,item_592,NA,heavy,heavy
tunn,descriptive_words,tunn,word,produces,NA,item_593,NA,thin,thin
tyst,descriptive_words,tyst,word,produces,NA,item_594,NA,quiet,quiet
törstig,descriptive_words,torstig,word,produces,NA,item_595,thirsty,thirsty,thirsty
vaken,descriptive_words,vaken,word,produces,NA,item_596,NA,awake,awake
varm,descriptive_words,varm,word,produces,NA,item_597,NA,warm,hot
vass,descriptive_words,vass,word,produces,NA,item_598,NA,sharp,sharp
vit,descriptive_words,vit,word,produces,NA,item_599,NA,white,white
våt,descriptive_words,vat,word,produces,NA,item_600,wet (description),wet,wet (description)
äcklig,descriptive_words,acklig,word,produces,NA,item_601,yucky,yucky,yucky
de/dem/dom,pronouns,de/dem/dom,word,produces,NA,item_602,NA,they,1PL
den där,pronouns,den_dar,word,produces,NA,item_603,that,that one,that
den här,pronouns,den_har,word,produces,NA,item_604,this,this one,this
den,pronouns,den_,word,produces,NA,item_605,that,that,that
det,pronouns,det,word,produces,NA,item_606,it,it,3SG
deras,pronouns,deras,word,produces,NA,item_607,NA,theirs,3PL.POSS
dessa,pronouns,dessa,word,produces,NA,item_608,NA,these,these
din,pronouns,din,word,produces,NA,item_609,NA,yours,2SG.POSS
du,pronouns,du,word,produces,NA,item_610,NA,you,2SG
han,pronouns,han,word,produces,NA,item_611,NA,he,3SG
hans,pronouns,hans,word,produces,NA,item_612,his,his,3SG.POSS
henne,pronouns,henne,word,produces,NA,item_613,her,her,3SG
hennes,pronouns,hennes,word,produces,NA,item_614,NA,hers,3SG.POSS
hon,pronouns,hon,word,produces,NA,item_615,NA,she,3SG
honom,pronouns,honom,word,produces,NA,item_616,NA,him,3SG
jag,pronouns,jag,word,produces,NA,item_617,i,I,1SG
mig,pronouns,mig,word,produces,NA,item_618,my,me,1SG.POSS
min,pronouns,min,word,produces,NA,item_619,mine,my,1SG.POSS
mina,pronouns,mina,word,produces,NA,item_620,NA,mine,1SG.POSS
oss,pronouns,oss,word,produces,NA,item_621,NA,us,1PL
själv,pronouns,sjalv,word,produces,NA,item_622,NA,self,REFL
vi,pronouns,vi,word,produces,NA,item_623,NA,we,1PL
vår,pronouns,var,word,produces,NA,item_624,NA,our,1PL.POSS
dag,time_words,dag,word,produces,NA,item_625,day,day,day
efter,time_words,efter,word,produces,NA,item_626,NA,after,after
ikväll,time_words,ikvall,word,produces,NA,item_627,tonight,tonight,tonight
imorgon,time_words,imorgon,word,produces,NA,item_628,tomorrow,tomorrow,tomorrow
innan,time_words,innan,word,produces,NA,item_629,NA,before,before
idag,time_words,idag,word,produces,NA,item_630,today,today,today
igår,time_words,igar,word,produces,NA,item_631,NA,yesterday,yesterday
morgon,time_words,morgon,word,produces,NA,item_632,morning,morning,morning
natt,time_words,natt,word,produces,NA,item_633,night,night,night
nu,time_words,nu,word,produces,NA,item_634,now,now,now
senare,time_words,senare,word,produces,NA,item_635,later,later,later
tid,time_words,tid,word,produces,NA,item_636,NA,time,time
av,locations,av,word,produces,NA,item_637,of,by,of
bakom,locations,bakom,word,produces,NA,item_638,back (location),behind,back (location)
bort,locations,bort,word,produces,NA,item_639,away,away,away
bredvid,locations,bredvid,word,produces,NA,item_640,NA,beside,beside
där,locations,dar,word,produces,NA,item_641,there,there,there
från,locations,fran,word,produces,NA,item_642,NA,from,from
för,locations,for,word,produces,NA,item_643,NA,for,for
här,locations,har,word,produces,NA,item_644,NA,here,here
i,locations,i,word,produces,NA,item_645,in,in,in
inuti,locations,inuti,word,produces,NA,item_646,inside,inside,inside
med,locations,med,word,produces,NA,item_647,NA,with,with
ner,locations,ner,word,produces,NA,item_648,down,down,down
nära,locations,nara,word,produces,NA,item_649,NA,near,near
omkring,locations,omkring,word,produces,NA,item_650,NA,around,around
ovanför,locations,ovanfor,word,produces,NA,item_651,NA,above,above
ovanpå,locations,ovanpa,word,produces,NA,item_652,NA,on top of,on top
på,locations,pa,word,produces,NA,item_653,on,on,on
runt,locations,runt,word,produces,NA,item_654,NA,around,around
till,locations,till,word,produces,NA,item_655,NA,to,to
tillbaka,locations,tillbaka,word,produces,NA,item_656,NA,back,back (location)
under,locations,under,word,produces,NA,item_657,under,under,under
upp,locations,upp,word,produces,NA,item_658,up,up,up
ut,locations,ut,word,produces,NA,item_659,out,out,out
vid,locations,vid,word,produces,NA,item_660,NA,at,at
över,locations,over,word,produces,NA,item_661,NA,over,over
alla,quantifiers,alla,word,produces,NA,item_662,all,all,all
andra,quantifiers,andra,word,produces,NA,item_663,other,other,other
den,quantifiers,den,word,produces,NA,item_664,NA,it,it
en,quantifiers,en,word,produces,NA,item_665,NA,a,a
en till,quantifiers,en_till,word,produces,NA,item_666,another,another,another
ett,quantifiers,ett,word,produces,NA,item_667,NA,one,one
ingen,quantifiers,ingen,word,produces,NA,item_668,none,none,none
mer,quantifiers,mer,word,produces,NA,item_669,more,more,more
mycket,quantifiers,mycket,word,produces,NA,item_670,NA,much,much
många,quantifiers,manga,word,produces,NA,item_671,NA,many,many
någon,quantifiers,nagon,word,produces,NA,item_672,NA,any,any
några,quantifiers,nagra,word,produces,NA,item_673,some,some,some
också,quantifiers,ocksa,word,produces,NA,item_674,NA,also,also
samma,quantifiers,samma,word,produces,NA,item_675,same,same,same
tre,quantifiers,tre,word,produces,NA,item_676,NA,three,three
två,quantifiers,tva,word,produces,NA,item_677,NA,two,two
varenda,quantifiers,varenda,word,produces,NA,item_678,NA,every,every
varje,quantifiers,varje,word,produces,NA,item_679,NA,every,every
försöka,helping_verbs,forsoka,word,produces,NA,item_680,NA,try,try
gjorde,helping_verbs,gjorde,word,produces,NA,item_681,NA,did,did
gör,helping_verbs,gor,word,produces,NA,item_682,NA,do,do
ha,helping_verbs,ha,word,produces,NA,item_683,NA,have,have
kan,helping_verbs,kan,word,produces,NA,item_684,NA,can,can
komma,helping_verbs,komma,word,produces,NA,item_685,NA,come,come
kunde,helping_verbs,kunde,word,produces,NA,item_686,NA,could,could
låta,helping_verbs,lata,word,produces,NA,item_687,NA,let,let
låt mig,helping_verbs,lat_mig,word,produces,NA,item_688,NA,let me,NA
måste,helping_verbs,maste,word,produces,NA,item_689,NA,must,must
ska,helping_verbs,ska,word,produces,NA,item_690,NA,will,will
skulle,helping_verbs,skulle,word,produces,NA,item_691,NA,should,should
ta,helping_verbs,ta,word,produces,NA,item_692,NA,take,take
tycka,helping_verbs,tycka,word,produces,NA,item_693,NA,think,think
var,helping_verbs,var,word,produces,NA,item_694,NA,was,was
vara,helping_verbs,vara,word,produces,NA,item_695,NA,be,be
vill,helping_verbs,vill,word,produces,NA,item_696,NA,want,want
är,helping_verbs,ar,word,produces,NA,item_697,NA,is,is
därför,connecting_words,darfor,word,produces,NA,item_698,NA,becuase,because
hur,connecting_words,hur,word,produces,NA,item_699,NA,how,how (connecting
men,connecting_words,men,word,produces,NA,item_700,NA,but,but
när,connecting_words,nar,word,produces,NA,item_701,NA,when,when (conjunction)
och,connecting_words,och,word,produces,NA,item_702,NA,and,and
om,connecting_words,om,word,produces,NA,item_703,NA,if,if
sen,connecting_words,sen,word,produces,NA,item_704,NA,late,late
sa,connecting_words,sa,word,produces,NA,item_705,NA,said,said
vad,connecting_words,vad,word,produces,NA,item_706,NA,what,what
var,connecting_words,var,word,produces,NA,item_707,NA,where,where (conjunction)
varför,connecting_words,varfor,word,produces,NA,item_708,NA,why,why
vem,connecting_words,vem,word,produces,NA,item_709,NA,who,who
vilka,connecting_words,vilka,word,produces,NA,item_710,NA,which,which (connecting)
