definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
а-а-а,sounds,NA,word,understands; produces,NA,item_29,NA,wee woo
он,pronouns,NA,word,understands; produces,NA,item_425,he,3SG
она,pronouns,NA,word,understands; produces,NA,item_426,she,3SG
сам/сама,pronouns,NA,word,understands; produces,NA,item_427,myself/yourself,1SG.REFL
твой,pronouns,NA,word,understands; produces,NA,item_428,your,2SG.POSS
тебе/ты,pronouns,NA,word,understands; produces,NA,item_429,you,2SG
это/этот/эти,pronouns,NA,word,understands; produces,NA,item_430,this/these,this
я,pronouns,NA,word,understands; produces,NA,item_431,I,1SG
где?,question_words,NA,word,understands; produces,NA,item_432,where,where (question)
какой?,question_words,NA,word,understands; produces,NA,item_433,what/which,which (question)
кто?,question_words,NA,word,understands; produces,NA,item_434,who,who
куда?,question_words,NA,word,understands; produces,NA,item_435,where,where (question)
чей?,question_words,NA,word,understands; produces,NA,item_436,whose,whose
что?,question_words,NA,word,understands; produces,NA,item_437,what,what
в (напр. в ведро),locations,NA,word,understands; produces,NA,item_438,in,in
вверх/вверху/наверх/наверху,locations,NA,word,understands; produces,NA,item_439,up,up
вниз/внизу,locations,NA,word,understands; produces,NA,item_440,down/below,down
вот,locations,NA,word,understands; produces,NA,item_441,there/here,here
домой,locations,NA,word,understands; produces,NA,item_442,home,home
здесь,locations,NA,word,understands; produces,NA,item_443,here,here
к (напр. к маме),locations,NA,word,understands; produces,NA,item_444,to,to
на (напр. на столе),locations,NA,word,understands; produces,NA,item_445,on/at,on
под (напр. под стулом),locations,NA,word,understands; produces,NA,item_446,under,under
там,locations,NA,word,understands; produces,NA,item_447,there,there
туда,locations,NA,word,understands; produces,NA,item_448,there,to there
тут,locations,NA,word,understands; produces,NA,item_449,here,here
все,quantifiers,NA,word,understands; produces,NA,item_450,all,all
всё (=нет кончилось),quantifiers,NA,word,understands; produces,NA,item_451,all gone,all gone
еще,quantifiers,NA,word,understands; produces,NA,item_452,more,more
другой,quantifiers,NA,word,understands; produces,NA,item_453,other/another,another
нет (amount),quantifiers,NA,word,understands; produces,NA,item_454,no/gone,none
хватит,quantifiers,NA,word,understands; produces,NA,item_455,enough,enough
Брось мячик. Кидай (маме/мне) мячик.,NA,NA,phrase,understands; produces,NA,item_1,NA,NA
Возьми. На.,NA,NA,phrase,understands; produces,NA,item_2,NA,NA
Дай (шарик/куклу и т.д.) маме.,NA,NA,phrase,understands; produces,NA,item_3,NA,NA
Вставай.,NA,NA,phrase,understands; produces,NA,item_4,NA,NA
Выплюнь.,NA,NA,phrase,understands; produces,NA,item_5,NA,NA
Еще? (Хочешь еще? Дать тебе еще?),NA,NA,phrase,understands; produces,NA,item_6,NA,NA
Иди ко мне (к маме/сюда и т.д.).,NA,NA,phrase,understands; produces,NA,item_7,NA,NA
Ай-яй-яй (упрек).,NA,NA,phrase,understands; produces,NA,item_8,NA,NA
Нельзя.,NA,NA,phrase,understands; produces,NA,item_9,NA,NA
Позови (маму/папу и т.д.).,NA,NA,phrase,understands; produces,NA,item_10,NA,NA
Обними (маму/папу/куклу и т.д.).,NA,NA,phrase,understands; produces,NA,item_11,NA,NA
Открой ротик.,NA,NA,phrase,understands; produces,NA,item_12,NA,NA
Пожалей (маму/папу/куклу и т.д.).,NA,NA,phrase,understands; produces,NA,item_13,NA,NA
Помаши (маме/папе/дяде и т.д.) ручкой.,NA,NA,phrase,understands; produces,NA,item_14,NA,NA
Пока-пока. До свидания.,NA,NA,phrase,understands; produces,NA,item_15,NA,NA
Посмотри. Смотри.,NA,NA,phrase,understands; produces,NA,item_16,NA,NA
Поцелуй (маму/папу/куклу и т.д.).,NA,NA,phrase,understands; produces,NA,item_17,NA,NA
Садись. Сядь.,NA,NA,phrase,understands; produces,NA,item_18,NA,NA
Спать пора. Пора баиньки. В кроватку.,NA,NA,phrase,understands; produces,NA,item_19,NA,NA
Тише. (Тс-с-с. Тихо-тихо.),NA,NA,phrase,understands; produces,NA,item_20,NA,NA
Ты устал?,NA,NA,phrase,understands; produces,NA,item_21,NA,NA
Хлопай в ладошки. (Ладушки. Хлоп-хлоп).,NA,NA,phrase,understands; produces,NA,item_22,NA,NA
Хорошая девочка/мальчик. Пай мальчик/девочка.,NA,NA,phrase,understands; produces,NA,item_23,NA,NA
Хочешь гулять? Гулять пойдем?,NA,NA,phrase,understands; produces,NA,item_24,NA,NA
Хочешь кушать (есть/ам-ам)?,NA,NA,phrase,understands; produces,NA,item_25,NA,NA
Ах ты/поросенок (свинка/хрюша)!,NA,NA,phrase,understands; produces,NA,item_26,NA,NA
Ваш ребенок любит попугайничать (т.е. повторять за взрослым слова или часть фразы которые только что услышал).,NA,NA,starting_to_talk,not yet; sometimes; often,NA,item_27,NA,NA
Вашему ребенку нравится показывать и называть окружающие предметы. Он как будто гордится знанием названий и хочет демонстрировать его.,NA,NA,starting_to_talk,not yet; sometimes; often,NA,item_28,NA,NA
