uni_list,itemID,item,type,category,choices,definition
turn around,item_413,,word,action_words,understands; produces,돌아
turn off,item_381,,word,action_words,understands; produces,(불)꺼
turn on,item_514,,word,action_words,understands; produces,틀어
turtle,item_42,,word,animals,understands; produces,거북이
tv,,,,,,
tweet tweet,item_10,,word,sounds,understands; produces,짹짹
ugly,,,,,,
uh oh,,,,,,
umbrella,item_232,,word,household,understands; produces,우산
uncle,item_336,,word,people,understands; produces,삼촌
under,item_607,,word,locations,understands; produces,아래
underpants,item_98,,word,clothing,understands; produces,팬티
understand,,,,,,
underwear,,,,,,
up,item_611,,word,locations,understands; produces,위
up (stairs),,,,,,
us,,,,,,
vacuum,item_238,,word,household,understands; produces,청소기
vagina,item_179,,word,body_parts,understands; produces,고추
vest,,,,,,
village,,,,,,
voice recorder,,,,,,
vroom,,,,,,
wafer,,,,,,
wait,item_378,,word,action_words,understands; produces,기다려
wake,,,,,,
walk,item_374,,word,action_words,understands; produces,걸어
wall,,,,,,
wanna,,,,,,
wardrobe,,,,,,
warm,,,,,,
warmly,,,,,,
wash,item_453,,word,action_words,understands; produces,빨아
wash,item_476,,word,action_words,understands; produces,씻어
washing machine,item_108,,word,furniture_rooms,understands; produces,세탁기
watch (action),,,,,,
watch (object),item_225,,word,household,understands; produces,시계
watch out,,,,,,
water (beverage),item_143,,word,food_drink,understands; produces,물
water (not beverage),,,,,,
watermelon,item_155,,word,food_drink,understands; produces,수박
wave,,,,,,
we,item_633,,word,pronouns,understands; produces,우리
wear,item_495,,word,action_words,understands; produces,입어
weee,,,,,,
well,item_320,,word,quantifiers,understands; produces,잘
wet,,,,,,
wetly,,,,,,
what,item_361,,word,question_words,understands; produces,무엇/뭐
when (question),,,,,,
where,item_363,,word,question_words,understands; produces,어디
where (question),item_363,,word,question_words,understands; produces,어디
which (question),item_362,,word,question_words,understands; produces,어느
white,item_569,,word,descriptive_words,understands; produces,(색이)하얘
who,item_358,,word,question_words,understands; produces,누구
who's there,,,,,,
whose,,,,,,
why,item_368,,word,question_words,understands; produces,왜
wind,item_259,,word,outside,understands; produces,바람
window,item_116,,word,furniture_rooms,understands; produces,창문
wipe,item_405,,word,action_words,understands; produces,닦아
with,,,,,,
wolf,,,,,,
woman,item_347,,word,people,understands; produces,여자
woof woof,item_4,,word,sounds,understands; produces,멍멍
work (action),item_493,,word,action_words,understands; produces,일해
work (place),,,,,,
worm,,,,,,
write,item_471,,word,action_words,understands; produces,(글)써
yard,item_292,,word,places,understands; produces,마당
yellow,item_528,,word,descriptive_words,understands; produces,(색이)노래
yes,item_273,,word,games_routines,understands; produces,네/응
yesterday,item_621,,word,time_words,understands; produces,어저께/어제
yogurt,item_162,,word,food_drink,understands; produces,요구르트
yogurt drink,item_162,,word,food_drink,understands; produces,요구르트
you,item_631,,word,pronouns,understands; produces,너
your,,,,,,
yucky,,,,,,
yum yum,item_7,,word,sounds,understands; produces,얌얌
zipper,,,,,,
zoo,item_291,,word,places,understands; produces,동물원
