itemID,item,type,category,choices,definition,gloss,complexity_category
item_503,,word,action_words,understands; produces,찍어,stamp/take picture,
item_504,,word,action_words,understands; produces,(공을)차,kick,
item_505,,word,action_words,understands; produces,찾아,find,
item_506,,word,action_words,understands; produces,춤춰,dance,
item_507,,word,action_words,understands; produces,(차에)치여,be hit,
item_508,,word,action_words,understands; produces,치워,clean up,
item_509,,word,action_words,understands; produces,칠해,color,
item_510,,word,action_words,understands; produces,(차에)타,get in the car,
item_511,,word,action_words,understands; produces,(차에)태워,put in the car,
item_512,,word,action_words,understands; produces,터져,burst,
item_513,,word,action_words,understands; produces,튀겨,fry/bounce,
item_514,,word,action_words,understands; produces,틀어,turn on,
item_515,,word,action_words,understands; produces,(코를)풀어,blow your nose,
item_516,,word,action_words,understands; produces,(꽃이)피어,bloom,
item_517,,word,action_words,understands; produces,해,do,
item_518,,word,action_words,understands; produces,혼나,scold,
item_519,,word,descriptive_words,understands; produces,가벼워,light,
item_520,,word,descriptive_words,understands; produces,간지러워,ticklish,
item_521,,word,descriptive_words,understands; produces,같아/똑같아,same,
item_522,,word,descriptive_words,understands; produces,괜찮아,fine,
item_523,,word,descriptive_words,understands; produces,귀여워,cute,
item_524,,word,descriptive_words,understands; produces,길어,long,
item_525,,word,descriptive_words,understands; produces,(색이)까매,dark (color),
item_526,,word,descriptive_words,understands; produces,깜깜해,dark,
item_527,,word,descriptive_words,understands; produces,나빠,bad,
item_528,,word,descriptive_words,understands; produces,(색이)노래,yellow,
item_529,,word,descriptive_words,understands; produces,높아,high,
item_530,,word,descriptive_words,understands; produces,달라,different,
item_531,,word,descriptive_words,understands; produces,더러워,dirty,
item_532,,word,descriptive_words,understands; produces,더워,hot (weather),
item_533,,word,descriptive_words,understands; produces,동그래,round,
item_534,,word,descriptive_words,understands; produces,뜨거워,hot (temperature),
item_535,,word,descriptive_words,understands; produces,많아,many,
item_536,,word,descriptive_words,understands; produces,맛없어,taste bad,
item_537,,word,descriptive_words,understands; produces,맛있어,tasty,
item_538,,word,descriptive_words,understands; produces,매워,spicy,
item_539,,word,descriptive_words,understands; produces,멀어,far,
