itemID,definition,gloss,category,item,type,choices,complexity_category,uni_lemma
item_138,Mantel,coat,clothing,Mantel,word,produces,,coat
item_139,Windel,diaper,clothing,Windel,word,produces,,diaper
item_140,Kleid,dress,clothing,Kleid,word,produces,,dress (object)
item_141,Schuh,shoe,clothing,Schuh,word,produces,,shoe
item_142,Schneeanzug,snowsuit,clothing,Schneeanzug,word,produces,,snowsuit
item_143,Jeans,jeans,clothing,Jeans,word,produces,,jeans
item_144,Hose,pants,clothing,Hose,word,produces,,pants
item_145,Schal,scarf,clothing,Schal,word,produces,,scarf
item_146,Hemd,shirt,clothing,Hemd,word,produces,,shirt
item_147,Schlafanzug,pyjamas,clothing,Schlafanzug,word,produces,,pajamas
item_148,Tshirt,tshirt,clothing,Tshirt,word,produces,,shirt
item_149,Füße,feet,body_parts,Fusse,word,produces,,feet
item_150,Finger,finger,body_parts,Finger,word,produces,,finger
item_151,Haare,hair,body_parts,Haare,word,produces,,hair
item_152,Schulter,shoulder,body_parts,Schulter,word,produces,,
item_153,Zahn,tooth,body_parts,Zahn,word,produces,,tooth
item_154,Zeh,toe,body_parts,Zeh,word,produces,,toe
item_155,Auge,eye,body_parts,Auge,word,produces,,eye
item_156,Gesicht,face,body_parts,Gesicht,word,produces,,face
item_157,Bein,leg,body_parts,Bein,word,produces,,leg
item_158,Nase,nose,body_parts,Nase,word,produces,,nose
item_159,Penis,penis,body_parts,Penis,word,produces,,penis
item_160,Bauchnabel,belly button,body_parts,Bauchnabel,word,produces,,belly button
item_161,Wange,cheek,body_parts,Wange,word,produces,,cheek
item_162,Kinn,chin,body_parts,Kinn,word,produces,,chin
item_163,Ohr,ear,body_parts,Ohr,word,produces,,ear
item_164,Lippen,lips,body_parts,Lippen,word,produces,,
item_165,Mund,mouth,body_parts,Mund,word,produces,,mouth
item_166,Arm,arm,body_parts,Arm,word,produces,,arm
item_167,Popo,bottom,body_parts,Popo,word,produces,,butt
item_168,Hand,hand,body_parts,Hand,word,produces,,hand
item_169,Kopf,head,body_parts,Kopf,word,produces,,head
item_170,Knie,knee,body_parts,Knie,word,produces,,knee
item_171,Zunge,tongue,body_parts,Zunge,word,produces,,tongue
item_172,Bauch,belly,body_parts,Bauch,word,produces,,tummy
item_173,Scheide,vagina,body_parts,Scheide,word,produces,,vagina
item_174,Korb,basket,household,Korb,word,produces,,
item_175,Decke,blanket,household,Decke,word,produces,,blanket
item_176,Radio,radio,household,Radio,word,produces,,radio
item_177,Schlüssel,key,household,Schlussel,word,produces,,keys
item_178,Messer,knife,household,Messer,word,produces,,knife
item_179,Lampe,lamp,household,Lampe,word,produces,,lamp
item_180,Licht,light,household,Licht,word,produces,,light (object)
item_181,Telefon,telephone,household,Telefon,word,produces,,telephone
item_182,Zahnbürste,toothbrush,household,Zahnburste,word,produces,,toothbrush
item_183,Handtuch,towel,household,Handtuch,word,produces,,towel
item_184,Müll,garbage,household,Mull,word,produces,,trash
item_185,Tablett,tray,household,Tablett,word,produces,,
item_186,Becher,mug,household,Becher,word,produces,,cup
item_187,Topf,pot,household,Topf,word,produces,,
item_188,Bild,picture,household,Bild,word,produces,,picture
item_189,Pflanze,plant,household,Pflanze,word,produces,,plant
item_190,Glas,glass,household,Glas,word,produces,,glass
item_191,Hammer,hammer,household,Hammer,word,produces,,hammer
item_192,Schere,scissors,household,Schere,word,produces,,scissors
item_193,Seife,soap,household,Seife,word,produces,,soap
item_194,Löffel,spoon,household,Loffel,word,produces,,spoon
item_195,Medizin,medicine,household,Medizin,word,produces,,medicine
item_196,Kamera,camera,household,Kamera,word,produces,,camera
item_197,Uhr,clock,household,Uhr,word,produces,,clock
item_198,Kamm,comb,household,Kamm,word,produces,,comb (object)
item_199,Tasse,cup,household,Tasse,word,produces,,cup
item_200,Deckel,lid,household,Deckel,word,produces,,cover (object)
item_201,Waschpulver,washing powder,household,Waschpulver,word,produces,,
item_202,Staubsauger,vacuum,household,Staubsauger,word,produces,,vacuum
item_203,Teller,plate,household,Teller,word,produces,,plate
item_204,Flasche,bottle,household,Flasche,word,produces,,bottle
item_205,Dose,box,household,Dose,word,produces,,box
item_206,Schüssel,bowl,household,Schussel,word,produces,,keys
item_207,Besen,broom,household,Besen,word,produces,,broom
item_208,Bürste,brush,household,Burste,word,produces,,brush (object)
item_209,Eimer,bucket,household,Eimer,word,produces,,bucket
item_210,Nagel,nail,household,Nagel,word,produces,,nail (object)
item_211,Serviette,napkin,household,Serviette,word,produces,,
item_212,Gabel,fork,household,Gabel,word,produces,,fork
item_213,Kissen,cushion,household,Kissen,word,produces,,pillow
item_214,Mülleimer,dustbin,household,Mulleimer,word,produces,,
item_215,Zahnpasta,toothpaste,household,Zahnpasta,word,produces,,
item_216,Schublade,drawer,furniture_rooms,Schublade,word,produces,,drawer
item_217,Badewanne,bathtub,furniture_rooms,Badewanne,word,produces,,bathtub
item_218,Bett,bed,furniture_rooms,Bett,word,produces,,bed
item_219,Küche,kitchen,furniture_rooms,Kuche,word,produces,,kitchen
item_220,Bank,bench,furniture_rooms,Bank,word,produces,,
item_221,Stuhl,chair,furniture_rooms,Stuhl,word,produces,,
item_222,Terasse,terasse,furniture_rooms,Terasse,word,produces,,
item_223,Klo/Toilette,toilet,furniture_rooms,Klo/Toilette,word,produces,,bathroom
