"itemID","item","type","category","choices","definition","gloss","complexity_category","uni_lemma"
"item_180","FD83_FISH","word","food_drink","produces","ψάρι","fish",,
"item_181","FD84_BREAD","word","food_drink","produces","ψωμί","bread",,
"item_182","V1_AIRPLAN","word","vehicles","produces","αεροπλάνο","airplane",,
"item_183","V2_CAR","word","vehicles","produces","αμάξι","car",,
"item_184","V3_PUSHCHA_CG","word","vehicles","produces","αμαξούα","pushchair CG",,
"item_185","V4_CAR_CG_CG","word","vehicles","produces","αυτοκίνητο","car CG",,
"item_186","V5_BOAT","word","vehicles","produces","βάρκα","boat",,
"item_187","V6_SHIP","word","vehicles","produces","καράβι","ship",,
"item_188","V7_PUSHCHA","word","vehicles","produces","καροτσάκι","pushchair",,
"item_189","V8_BUS","word","vehicles","produces","λεωφορείο","bus",,
"item_190","V9_MOTORCY","word","vehicles","produces","μοτοσικλέτα","motorcycle",,
"item_191","V10_MOTORC_CG","word","vehicles","produces","μοτόρα","motorcycle CG",,
"item_192","V11_BULLDO","word","vehicles","produces","μπουλντόζα","bulldozer",,
"item_193","V12_SHIP","word","vehicles","produces","πλοίο","ship",,
"item_194","V13_BICYCL","word","vehicles","produces","ποδήλατο","bicycle",,
"item_195","V14_FIREEN","word","vehicles","produces","πυροσβεστική","fireengine",,
"item_196","V15_BULLDO_CG","word","vehicles","produces","σιοίρος","bulldozer CG",,
"item_197","V16_TRACTO","word","vehicles","produces","τρακτέρ","tractor",,
"item_198","V17_TRAIN","word","vehicles","produces","τρένο","train",,
"item_199","V18_LORRY","word","vehicles","produces","φορτηγό","lorry",,
"item_200","OH1_RUBBIS","word","household","produces","άχρηστα","rubbish",,
"item_201","OH2_BRUSH","word","household","produces","βούρτσα","brush",,
"item_202","OH3_FLOWER","word","household","produces","γλάστρα","(flower) pot",,
"item_203","OH4_TRAY","word","household","produces","δίσκος","tray",,
"item_204","OH5_VACUUM","word","household","produces","ηλεκτρική σκούπα*","vacuum cleaner",,
"item_205","OH6_PAINTI_CG","word","household","produces","κάδρο","painting CG",,
"item_206","OH7_RUBBIS_CG","word","household","produces","κάλαθος","rubbish bin CG",,
"item_207","OH8_CAMERA","word","household","produces","κάμερα","camera",,
"item_208","OH9_COIN","word","household","produces","κέρμα","coin",,
"item_209","OH10_MOBIL","word","household","produces","κινητό","mobile",,
"item_210","OH11_KEYS","word","household","produces","κλειδιά","keys",,
"item_211","OH12_ADHES","word","household","produces","κολλητική ταινία*","adhesive tape",,
"item_212","OH13_BUCKE","word","household","produces","κουβάς","bucket",,
"item_213","OH14_BLANK","word","household","produces","κουβέρτα","blanket",,
"item_214","OH15_BOWL","word","household","produces","κούπα","bowl",,
"item_215","OH16_SPOON","word","household","produces","κουτάλι","spoon",,
"item_216","OH17_BOX","word","household","produces","κουτί","box",,
"item_217","OH18_LAMP","word","household","produces","λάμπα","lamp",,
"item_218","OH19_MONEY","word","household","produces","λεφτά","money",,
"item_219","OH20_KITCH_CG","word","household","produces","μαντηλιά","kitchen towel CG",,
"item_220","OH21_PILLO","word","household","produces","μαξιλάρι","pillow",,
"item_221","OH22_KNIFE","word","household","produces","μαχαίρι","knife",,
"item_222","OH23_MOBIL_CG","word","household","produces","μόμπαϊλ","mobile CG",,
"item_223","OH24_FEEDI_CG","word","household","produces","μπιμπερό","feeding bottle CG",,
"item_224","OH25_BOWL__CG","word","household","produces","μπολ","bowl CG",,
"item_225","OH26_BOTTL","word","household","produces","μπουκάλι","bottle",,
"item_226","OH27_COIN","word","household","produces","νόμισμα","coin",,
"item_227","OH28_TOOTH","word","household","produces","οδοντόβουρτσα","toothbrush",,
"item_228","OH29_TOOTH","word","household","produces","οδοντόκρεμα","toothpaste",,
"item_229","OH30_BABY__CG","word","household","produces","περπατούσα","baby walker CG",,
"item_230","OH31_TOWL","word","household","produces","πετσέτα","towl",,
"item_231","OH32_PLATE","word","household","produces","πιάτο","plate",,
"item_232","OH33_PAINT","word","household","produces","πίνακας","painting",,
"item_233","OH34_FORK","word","household","produces","πιρούνι","fork",,
"item_234","OH35_HAIR__CG","word","household","produces","πιστολάκι","hair dryer CG",,
"item_235","OH36_WALLE","word","household","produces","πορτοφόλι","wallet",,
"item_236","OH37_RADIO","word","household","produces","ραδιόφωνο","radio",,
"item_237","OH38_WATCH","word","household","produces","ρολόι","watch",,
"item_238","OH39_SOAP","word","household","produces","σαπούνι","soap",,
"item_239","OH40_HAIR_","word","household","produces","σεσουάρ","hair dryer",,
"item_240","OH41_BUCKE_CG","word","household","produces","σίκλα","bucket CG",,
"item_241","OH42_BROOM","word","household","produces","σκούπα","broom",,
"item_242","OH43_RUBBI","word","household","produces","σκουπίδια","rubbish",,
"item_243","OH44_HAIR_","word","household","produces","στεγνωτήρας","hair dryer",,
"item_244","OH45_MOP","word","household","produces","σφουγγαρίστρα","mop",,
"item_245","OH46_HAMME","word","household","produces","σφυρί","hammer",,
"item_246","OH47_TABLE","word","household","produces","τάμπλετ","tablet",,
"item_247","OH48_TOWEL_CG","word","household","produces","τόρος","towel CG",,
"item_248","OH49_MEDIC","word","household","produces","φάρμακο","medicine",,
"item_249","OH50_ADHES_CG","word","household","produces","τέλλα","adhesive tape CG",,
"item_250","OH51_TIN","word","household","produces","τενεκεδάκι","tin",,
"item_251","OH52_PHONE","word","household","produces","τηλέφωνο","phone",,
"item_252","OH53_BAG","word","household","produces","τσάντα","bag",,
"item_253","OH54_MOP_C_CG","word","household","produces","φλόκκος","mop CG",,
"item_254","OH55_CUP_C_CG","word","household","produces","φλιτζάνι","cup CG",,
"item_255","OH56_LIGHT","word","household","produces","φως","light",,
"item_256","OH57_PHOTO","word","household","produces","φωτογραφία","photograph",,
"item_257","OH58_PHOTO","word","household","produces","φωτογραφική","photo camera",,
"item_258","OH59_PHOTO","word","household","produces","φωτογραφοθήκη","photo frame",,
"item_259","OH60_PAPER","word","household","produces","χαρτί","paper",,
"item_260","OH61_TISSU","word","household","produces","χαρτομάντηλο","tissue",,
"item_261","OH62_COMB","word","household","produces","χτενιά","comb",,
"item_262","OH63_SCISS","word","household","produces","ψαλίδι","scissors",,
"item_263","OH63_SINK__CG","word","household","produces","βούρνα","3 sink CG",,
"item_264","F2_WARDROB_CG","word","furniture_rooms","produces","ερμάρι","wardrobe CG",,
"item_265","F3_CUPBOAR_CG","word","furniture_rooms","produces","ερμαράκι","cupboard CG",,
"item_266","F4_POTTY","word","furniture_rooms","produces","γιογιό","potty",,
"item_267","F5_GARAGE","word","furniture_rooms","produces","γκαράζ","garage",,
"item_268","F6_ROOM","word","furniture_rooms","produces","δωμάτιο","room",,
"item_269","F7_HEATER","word","furniture_rooms","produces","θερμάστρα","heater",,
"item_270","F8_POTTY_C_CG","word","furniture_rooms","produces","καθικούιν","potty CG",,
"item_271","F9_CAR_SEA","word","furniture_rooms","produces","καθισματάκι","car seat",,
"item_272","F10_LIVING","word","furniture_rooms","produces","καθιστικό","living room",,
"item_273","F11_SOFA","word","furniture_rooms","produces","καναπές","sofa",,
"item_274","F12_CAR_SE_CG","word","furniture_rooms","produces","καρ σιτ","car seat CG",,
"item_275","F13_CHAIR","word","furniture_rooms","produces","καρέκλα","chair",,
"item_276","F14_HIGH_C_CG","word","furniture_rooms","produces","καρεκλίν","high chair CG",,
"item_277","F15_BED_CG_CG","word","furniture_rooms","produces","καρκόλα","bed CG",,
"item_278","F16_KITCHE","word","furniture_rooms","produces","κουζίνα","kitchen",,
"item_279","F17_BED","word","furniture_rooms","produces","κρεβάτι","bed",,
"item_280","F18_BATHTU","word","furniture_rooms","produces","μπανιέρα","bathtub",,
"item_281","F19_BATHRO","word","furniture_rooms","produces","μπάνιο","bathroom",,
"item_282","F20_SINK","word","furniture_rooms","produces","νεροχύτης","sink",,
"item_283","F21_WASHBA","word","furniture_rooms","produces","νιπτήρας","washbasin",,
"item_284","F22_SHOWER","word","furniture_rooms","produces","ντουζ","shower",,
"item_285","F23_WARDRO","word","furniture_rooms","produces","ντουλάπα","wardrobe",,
"item_286","F24_CUPBOA","word","furniture_rooms","produces","ντουλάπι","cupboard",,
"item_287","F25_KITCHE","word","furniture_rooms","produces","πάγκος","kitchen board",,
