field,column,group,type
item_298,Janela,item,word
item_299,Jardim,item,word
item_300,Lareira,item,word
item_301,Mesa,item,word
item_302,Parede,item,word
item_303,Porta,item,word
item_304,Portão,item,word
item_305,Quarto,item,word
item_306,Sala,item,word
item_307,Sanita,item,word
item_308,Sofá,item,word
item_309,Televisão,item,word
item_310,Areia,item,word
item_311,Árvore,item,word
item_312,Baloiço,item,word
item_313,Céu,item,word
item_314,Chuva,item,word
item_315,Erva,item,word
item_316,Escorrega,item,word
item_317,Estrela,item,word
item_318,Flores,item,word
item_319,Folha,item,word
item_320,Fumo,item,word
item_321,Jardim_el,item,word
item_322,Lua,item,word
item_323,Neve,item,word
item_324,Nuvem,item,word
item_325,Pedra,item,word
item_326,Relva,item,word
item_327,Sol,item,word
item_328,Terra,item,word
item_329,Vento,item,word
item_330,Café_lu,item,word
item_331,Casa,item,word
item_332,Casa_avó,item,word
item_333,Circo,item,word
item_334,Escola,item,word
item_335,Farmácia,item,word
item_336,Festa,item,word
item_337,Escolinha,item,word
item_338,Loja,item,word
item_339,Mar,item,word
item_340,Médico,item,word
item_341,Música,item,word
item_342,Parque,item,word
item_343,Piscina,item,word
item_344,Praia,item,word
item_345,Rio,item,word
item_346,Rua,item,word
item_347,Shopping,item,word
item_348,Amiga,item,word
item_349,Amigo,item,word
item_350,Avó,item,word
item_351,Avô,item,word
item_352,Bebé,item,word
item_353,Bruxa,item,word
item_354,Nome_educador,item,word
item_355,Homem,item,word
item_356,Irmã,item,word
item_357,Irmão,item,word
item_358,Madrinha,item,word
item_359,Mãe,item,word
item_360,Menina,item,word
item_361,Menino,item,word
item_362,Mulher,item,word
item_363,Nome_boneco,item,word
item_364,Nome_próprio_pessoa,item,word
item_365,Padrinho,item,word
item_366,Palhaço,item,word
item_367,Pai,item,word
item_368,Polícia,item,word
item_369,Prima,item,word
item_370,Primo,item,word
item_371,Senhor,item,word
item_372,Senhora,item,word
item_373,Tia,item,word
item_374,Tio,item,word
item_375,Adeus,item,word
item_376,Anda,item,word
item_377,Anda_cá,item,word
item_378,Assim,item,word
item_379,Até_amanhã,item,word
item_380,Até_logo,item,word
item_381,Beijinho,item,word
item_382,Bem,item,word
item_383,Bom_dia,item,word
item_384,Cocó,item,word
item_385,Colo,item,word
item_386,Dói,item,word
item_387,Dorme_bem,item,word
item_388,Espera,item,word
item_389,Está_bem,item,word
item_390,Golo,item,word
item_391,Já_está,item,word
item_392,Não,item,word
item_393,Não_há,item,word
item_394,Não_mexe,item,word
item_395,Obrigado,item,word
item_396,Olá,item,word
item_397,Olé,item,word
item_398,Olha,item,word
item_399,Para,item,word
item_400,Palminhas,item,word
item_401,Para_banho,item,word
item_402,Por_favor,item,word
item_403,Sim,item,word
item_404,Toca_dormir,item,word
item_405,Vamos,item,word
item_406,Vamos_rua,item,word
item_407,Vamos_parque,item,word
item_408,Vamos_comer,item,word
item_409,Vamos_passear,item,word
item_410,Xixi,item,word
item_411,Abrir,item,word
item_412,Acabar,item,word
item_413,Ajudar,item,word
item_414,Andar,item,word
item_415,Apagar,item,word
item_416,Apanhar,item,word
item_417,Arrefecer,item,word
item_418,Arrumar,item,word
item_419,Assoar,item,word
item_420,Beber,item,word
item_421,Brincar,item,word
item_422,Buscar,item,word
item_423,Cair,item,word
item_424,Calar,item,word
item_425,Calçar,item,word
item_426,Cantar,item,word
item_427,Chamar,item,word
item_428,Chorar,item,word
item_429,Colocar,item,word
item_430,Começar,item,word
item_431,Comer,item,word
item_432,Comprar,item,word
item_433,Conseguir,item,word
item_434,Contar,item,word
item_435,Correr,item,word
item_436,Cortar,item,word
item_437,Dançar,item,word
item_438,Dar,item,word
item_439,Deitar,item,word
item_440,Descer,item,word
item_441,Doer,item,word
item_442,Dormir,item,word
item_443,Ensinar,item,word
item_444,Entrar,item,word
item_445,Escrever,item,word
item_446,Espirrar,item,word
item_447,Estar,item,word
item_448,Falar,item,word
item_449,Fazer,item,word
item_450,Fechar,item,word
item_451,Fugir,item,word
item_452,Gostar,item,word
item_453,Gritar,item,word
item_454,Guardar,item,word
item_455,Haver,item,word
item_456,Ir,item,word
item_457,Jogar,item,word
item_458,Lavar,item,word
item_459,Ler,item,word
item_460,Levar,item,word
item_461,Limpar,item,word
item_462,Molhar,item,word
item_463,Morder,item,word
item_464,Mostrar,item,word
item_465,Olhar,item,word
item_466,Ouvir,item,word
item_467,Parar,item,word
item_468,Partir,item,word
item_469,Pegar,item,word
item_470,Pentear,item,word
item_471,Pintar,item,word
item_472,Poder,item,word
item_473,Pôr,item,word
item_474,Procurar,item,word
item_475,Puxar,item,word
item_476,Querer,item,word
item_477,Regar,item,word
item_478,Rir,item,word
item_479,Saber,item,word
item_480,Sair,item,word
item_481,Saltar,item,word
item_482,Sentar,item,word
item_483,Ser,item,word
item_484,Subir,item,word
item_485,Tapar,item,word
item_486,Ter,item,word
item_487,Tirar,item,word
item_488,Tocar,item,word
item_489,Tomar_leite,item,word
item_490,Tomar_banho,item,word
item_491,Tossir,item,word
item_492,Trabalhar,item,word
item_493,Ver,item,word
item_494,Vestir,item,word
item_495,Aberto,item,word
item_496,Alto,item,word
item_497,Amarelo,item,word
item_498,Azul,item,word
item_499,Baixo,item,word
item_500,Bom,item,word
item_501,Bonito,item,word
item_502,Branco,item,word
item_503,Caca,item,word
item_504,Castanho,item,word
item_505,Cheio,item,word
item_506,Contente,item,word
item_507,Cor_laranja,item,word
item_508,Cor_rosa,item,word
item_509,Difícil,item,word
item_510,Doente,item,word
item_511,Duro,item,word
item_512,Escuro,item,word
item_513,Estragado,item,word
item_514,Fechado,item,word
item_515,Feio,item,word
