itemID,item,type,category,choices,definition,gloss
item_189,jam,word,food_drink,understands; produces,jam,jam
item_190,salad,word,food_drink,understands; produces,salad,salad
item_191,salt,word,food_drink,understands; produces,salt,salt
item_192,sandwich,word,food_drink,understands; produces,sandwich,sandwich
item_193,sauce,word,food_drink,understands; produces,sauce,sauce
item_194,fizzydrinkpop,word,food_drink,understands; produces,fizzy drink/pop,fizzy drink/pop
item_195,soup,word,food_drink,understands; produces,soup,soup
item_196,spaghetti,word,food_drink,understands; produces,spaghetti,spaghetti
item_197,strawberry,word,food_drink,understands; produces,strawberry,strawberry
item_198,tea,word,food_drink,understands; produces,tea,tea
item_199,toast,word,food_drink,understands; produces,toast,toast
item_200,vanilla,word,food_drink,understands; produces,vanilla,vanilla
item_201,vitamins,word,food_drink,understands; produces,vitamins,vitamins
item_202,waterdrink,word,food_drink,understands; produces,water (drink),water (drink)
item_203,watermelon,word,food_drink,understands; produces,watermelon,watermelon
item_204,about,word,prepositions,understands; produces,about,about
item_205,above,word,prepositions,understands; produces,above,above
item_206,back,word,prepositions,understands; produces,back,back
item_207,behind,word,prepositions,understands; produces,behind,behind
item_208,beside,word,prepositions,understands; produces,beside,beside
item_209,down,word,prepositions,understands; produces,down,down
item_210,for,word,prepositions,understands; produces,for,for
item_211,here,word,prepositions,understands; produces,here,here
item_212,insidein,word,prepositions,understands; produces,inside/in,inside/in
item_213,nextto,word,prepositions,understands; produces,next to,next to
item_214,on,word,prepositions,understands; produces,on,on
item_215,out,word,prepositions,understands; produces,out,out
item_216,over,word,prepositions,understands; produces,over,over
item_217,to,word,prepositions,understands; produces,to,to
item_218,under,word,prepositions,understands; produces,under,under
item_219,up,word,prepositions,understands; produces,up,up
item_220,with,word,prepositions,understands; produces,with,with
item_221,ball,word,toys,understands; produces,ball,ball
item_222,balloon,word,toys,understands; produces,balloon,balloon
item_223,bat,word,toys,understands; produces,bat,bat
item_224,book,word,toys,understands; produces,book,book
item_225,doll,word,toys,understands; produces,doll,doll
item_226,game,word,toys,understands; produces,game,game
item_227,pencil,word,toys,understands; produces,pencil,pencil
item_228,present,word,toys,understands; produces,present,present
item_229,puzzle,word,toys,understands; produces,puzzle,puzzle
item_230,robot,word,toys,understands; produces,robot,robot
item_231,story,word,toys,understands; produces,story,story
item_232,toy,word,toys,understands; produces,toy,toy
item_233,arm,word,body_parts,understands; produces,arm,arm
item_234,bellybutton,word,body_parts,understands; produces,belly button,belly button
item_235,buttocksbottom,word,body_parts,understands; produces,buttocks/bottom,buttocks/bottom
item_236,cheek,word,body_parts,understands; produces,cheek,cheek
item_237,chin,word,body_parts,understands; produces,chin,chin
item_238,ear,word,body_parts,understands; produces,ear,ear
item_239,eye,word,body_parts,understands; produces,eye,eye
item_240,face,word,body_parts,understands; produces,face,face
item_241,feet,word,body_parts,understands; produces,feet,feet
item_242,finger,word,body_parts,understands; produces,finger,finger
item_243,hair,word,body_parts,understands; produces,hair,hair
item_244,hand,word,body_parts,understands; produces,hand,hand
item_245,head,word,body_parts,understands; produces,head,head
item_246,knee,word,body_parts,understands; produces,knee,knee
item_247,leg,word,body_parts,understands; produces,leg,leg
item_248,lips,word,body_parts,understands; produces,lips,lips
item_249,mouth,word,body_parts,understands; produces,mouth,mouth
item_250,nose,word,body_parts,understands; produces,nose,nose
item_251,cuthurt,word,body_parts,understands; produces,cut/hurt,cut/hurt
item_252,shoulder,word,body_parts,understands; produces,shoulder,shoulder
item_253,tooth,word,body_parts,understands; produces,tooth,tooth
item_254,toe,word,body_parts,understands; produces,toe,toe
item_255,tongue,word,body_parts,understands; produces,tongue,tongue
item_256,tummy,word,body_parts,understands; produces,tummy,tummy
item_257,hesheit,word,pronouns,understands; produces,he/she/it,he/she/it
item_258,hershis,word,pronouns,understands; produces,her/his,her/his
item_259,me,word,pronouns,understands; produces,me,me
item_260,mymine,word,pronouns,understands; produces,my/mine,my/mine
item_261,myself,word,pronouns,understands; produces,myself,myself
item_262,our,word,pronouns,understands; produces,our,our
item_263,that,word,pronouns,understands; produces,that,that
item_264,their,word,pronouns,understands; produces,their,their
item_265,these,word,pronouns,understands; produces,these,these
item_266,they,word,pronouns,understands; produces,they,they
item_267,we,word,pronouns,understands; produces,we,we
item_268,you,word,pronouns,understands; produces,you,you
item_269,your,word,pronouns,understands; produces,your,your
item_270,yourself,word,pronouns,understands; produces,yourself,yourself
item_271,basement,word,furniture_rooms,understands; produces,basement,basement
item_272,toilet,word,furniture_rooms,understands; produces,toilet,toilet
item_273,bath,word,furniture_rooms,understands; produces,bath,bath
item_274,bed,word,furniture_rooms,understands; produces,bed,bed
item_275,bedroom,word,furniture_rooms,understands; produces,bedroom,bedroom
item_276,chair,word,furniture_rooms,understands; produces,chair,chair
item_277,cupboard,word,furniture_rooms,understands; produces,cupboard,cupboard
item_278,door,word,furniture_rooms,understands; produces,door,door
item_279,drawer,word,furniture_rooms,understands; produces,drawer,drawer
item_280,dryer,word,furniture_rooms,understands; produces,dryer,dryer
item_281,garage,word,furniture_rooms,understands; produces,garage,garage
item_282,kitchen,word,furniture_rooms,understands; produces,kitchen,kitchen
item_283,lounge,word,furniture_rooms,understands; produces,lounge,lounge
item_284,fridge,word,furniture_rooms,understands; produces,fridge,fridge
item_285,rockingchair,word,furniture_rooms,understands; produces,rocking chair,rocking chair
item_286,room,word,furniture_rooms,understands; produces,room,room
item_287,shower,word,furniture_rooms,understands; produces,shower,shower
item_288,stairs,word,furniture_rooms,understands; produces,stairs,stairs
item_289,table,word,furniture_rooms,understands; produces,table,table
