itemID,item,category,choices,definition,type,complexity_category,gloss,uni_lemma
item_1,1_baa_baa,sounds,understands; produces,baa baa,word,NA,baa baa,baa baa
item_397,397_away,prepositions,understands; produces,away,word,NA,away,away
item_398,398_back,prepositions,understands; produces,back,word,NA,back,back (preposition)
item_399,399_down,prepositions,understands; produces,down,word,NA,down,down
item_400,400_in,prepositions,understands; produces,in,word,NA,in,in
item_401,401_inside,prepositions,understands; produces,inside,word,NA,inside,inside
item_402,402_off,prepositions,understands; produces,off,word,NA,off,off
item_403,403_on,prepositions,understands; produces,on,word,NA,on,on
item_404,404_out,prepositions,understands; produces,out,word,NA,out,out
item_405,405_there,prepositions,understands; produces,there,word,NA,there,there
item_406,406_under,prepositions,understands; produces,under,word,NA,under,under
item_407,407_up,prepositions,understands; produces,up,word,NA,up,up
item_408,408_all,prepositions,understands; produces,all,word,NA,all,all
item_409,409_again,prepositions,understands; produces,again,word,NA,again,again
item_410,410_another,prepositions,understands; produces,another,word,NA,another,another
item_411,411_more,prepositions,understands; produces,more,word,NA,more,more
item_412,412_none,prepositions,understands; produces,none,word,NA,none,none
item_413,413_not,prepositions,understands; produces,not,word,NA,not,not
item_414,414_other,prepositions,understands; produces,other,word,NA,other,other
item_415,415_same,prepositions,understands; produces,same,word,NA,same,same
item_416,416_some,prepositions,understands; produces,some,word,NA,some,some
item_417,417_chase,action_words,understands; produces,chase,word,NA,chase,chase
item_418,418_smell,action_words,understands; produces,smell,word,NA,smell,smell
