itemID,item,type,category_ja,category,definition,definition_ja2,gloss,uni_lemma
item_118,E20,word,食べ物と飲み物,food_drink,バナナ,Banana,Banana,banana
item_119,E21,word,食べ物と飲み物,food_drink,パン,Pan,Bread,bread
item_120,E22,word,食べ物と飲み物,food_drink,ぶどう,Budou,Grape,grapes
item_121,E23,word,食べ物と飲み物,food_drink,プリン,Purin,Pudding,pudding
item_122,E24,word,食べ物と飲み物,food_drink,豆,Mame,Bean,beans
item_123,E25,word,食べ物と飲み物,food_drink,みかん,Mikan,Orange,orange (food)
item_124,E26,word,食べ物と飲み物,food_drink,水,Mizu,Water,water (beverage)
item_125,E27,word,食べ物と飲み物,food_drink,みそしる,Misoshiru,Miso_soup,soup
item_126,E28,word,食べ物と飲み物,food_drink,ミルク,Miruku,Milk,milk
item_127,E29,word,食べ物と飲み物,food_drink,もも,Momo,Peach,peach
item_128,E30,word,食べ物と飲み物,food_drink,リンゴ,Ringo,Apple,apple
item_129,F1,word,衣類,clothing,エプロン,Epuron,Apron,apron
item_130,F2,word,衣類,clothing,オーバー,Oobaa,Overcoat,coat
item_131,F3,word,衣類,clothing,おむつ,Omutsu,Diaper,diaper
item_132,F4,word,衣類,clothing,くつ,Kutsu,Shoes,shoe
item_133,F5,word,衣類,clothing,くつ下,Kutsushita,Socks,sock
item_134,F6,word,衣類,clothing,ジーパン,Jiipan,Jeans,jeans
item_135,F7,word,衣類,clothing,シャツ,Syatsu,Shirt,shirt
item_136,F8,word,衣類,clothing,ジャンパー,Janpaa,Jacket,jacket
item_137,F9,word,衣類,clothing,スカート,Sukaato,Skirt,skirt
item_138,F10,word,衣類,clothing,ズボン,Zubon,Pants,pants
item_139,F11,word,衣類,clothing,てぶくろ,Tebukuro,Gloves,gloves
item_140,F12,word,衣類,clothing,長ぐつ,Nagagutsu,Boots,boots
item_141,F13,word,衣類,clothing,パジャマ,Pajama,Pajama,pajamas
item_142,F14,word,衣類,clothing,パンツ,Pantsu,Shorts,shorts
item_143,F15,word,衣類,clothing,ベルト,Beruto,Belt,belt
item_144,F16,word,衣類,clothing,ぼうし,Boushi,Hat,hat
item_145,F17,word,衣類,clothing,ボタン,Botan,Button,button
item_146,F18,word,衣類,clothing,洋服,Youfuku,Clothes,clothes
item_147,F19,word,衣類,clothing,リボン,Ribon,Ribbon,ribbon
item_148,G1,word,体の部分,body_parts,足,Ashi,Leg,leg
item_149,G2,word,体の部分,body_parts,あたま,Atama,Head,head
item_150,G3,word,体の部分,body_parts,おしり,Oshiri,Buttocks,buttocks
item_151,G4,word,体の部分,body_parts,おチンチン,Ochinchin,Penis,penis
item_152,G5,word,体の部分,body_parts,おっぱい,Oppai,Breasts,breast
item_153,G6,word,体の部分,body_parts,おなか,Onaka,Stomach,tummy
item_154,G7,word,体の部分,body_parts,おへそ,Oheso,Navel,belly button
item_155,G8,word,体の部分,body_parts,顔,Kao,Face,face
item_156,G9,word,体の部分,body_parts,かみ（髪）,Kami,Hair,hair
item_157,G10,word,体の部分,body_parts,くち,Kuchi,Mouth,mouth
item_158,G11,word,体の部分,body_parts,しっぽ,Shippo,Tail,tail
item_159,G12,word,体の部分,body_parts,つめ,Tsume,Nail,nail (finger)
item_160,G13,word,体の部分,body_parts,手,Te,Hand,hand
item_161,G14,word,体の部分,body_parts,歯,Ha,Tooth,tooth
item_162,G15,word,体の部分,body_parts,鼻,Hana,Nose,nose
item_163,G16,word,体の部分,body_parts,舌（べろ）,Shita_bero,Tongue,tongue
item_164,G17,word,体の部分,body_parts,ほっぺ,Hoppe,Cheek,cheek
item_165,G18,word,体の部分,body_parts,耳,Mimi,Ear,ear
item_166,G19,word,体の部分,body_parts,目,Me,Eye,eye
item_167,G20,word,体の部分,body_parts,指,Yubi,Finger,finger
item_168,H1,word,家具と部屋,furniture_rooms,いす,Isu,Chair,chair
item_169,H2,word,家具と部屋,furniture_rooms,おふろ（風呂場）,Ofuro,Bath,bath
item_170,H3,word,家具と部屋,furniture_rooms,おまる,Omaru,Potty,potty
item_171,H4,word,家具と部屋,furniture_rooms,カーテン,Kaaten,Curtain,curtain
item_172,H5,word,家具と部屋,furniture_rooms,階段,Kaidan,Stairs,stairs
item_173,H6,word,家具と部屋,furniture_rooms,玄関,Genkan,Entrance,
item_174,H7,word,家具と部屋,furniture_rooms,シャワー,Syawaa,Shower,shower
item_175,H8,word,家具と部屋,furniture_rooms,ストーブ,Sutoobu,Stove,stove
item_176,H9,word,家具と部屋,furniture_rooms,扇風機,Senpuuki,Fan,fan
item_177,H10,word,家具と部屋,furniture_rooms,台所,Daidokoro,Kitchen,kitchen
item_178,H11,word,家具と部屋,furniture_rooms,タンス,Tansu,Wardrobe,closet
item_179,H12,word,家具と部屋,furniture_rooms,机,Tsukue,Desk,table
item_180,H13,word,家具と部屋,furniture_rooms,テーブル,Teeburu,Table,table
item_181,H14,word,家具と部屋,furniture_rooms,テレビ,Terebi,Television,TV
item_182,H15,word,家具と部屋,furniture_rooms,電気,Denki,Light,light
item_183,H16,word,家具と部屋,furniture_rooms,ドア,Doa,Door,door
item_184,H17,word,家具と部屋,furniture_rooms,トイレ,Toire,Toilet,toilet
item_185,H18,word,家具と部屋,furniture_rooms,ピアノ,Piano,Piano,piano
item_186,H19,word,家具と部屋,furniture_rooms,ひきだし,Hikidashi,Drawer,drawer
item_187,H20,word,家具と部屋,furniture_rooms,ビデオ,Bideo,Video,video
item_188,H21,word,家具と部屋,furniture_rooms,ベッド,Beddo,Bed,bed
item_189,H22,word,家具と部屋,furniture_rooms,部屋,Heya,Room,room
item_190,H23,word,家具と部屋,furniture_rooms,窓,Mado,Window,window
item_191,H24,word,家具と部屋,furniture_rooms,冷蔵庫,Reizouko,Refrigerator,refrigerator
item_192,I1,word,小さな家庭用品,household,絵,E,Picture,picture
item_193,I2,word,小さな家庭用品,household,お金,Okane,Money,money
item_194,I3,word,小さな家庭用品,household,お皿,Osara,dish,dish
item_195,I4,word,小さな家庭用品,household,かぎ（鍵）,Kagi,Key,key
item_196,I5,word,小さな家庭用品,household,かさ,Kasa,Umbrella,umbrella
item_197,I6,word,小さな家庭用品,household,かばん,Kaban,Bag,bag
item_198,I7,word,小さな家庭用品,household,かみ（紙）,Kami,Paper,paper
item_199,I8,word,小さな家庭用品,household,カメラ,Kamera,Camera,camera
item_200,I9,word,小さな家庭用品,household,くし,Kushi,Comb,comb (object)
item_201,I10,word,小さな家庭用品,household,くすり,Kusuri,Medicine,medicine
item_202,I11,word,小さな家庭用品,household,コップ,Koppu,Cup,cup
item_203,I12,word,小さな家庭用品,household,ごみ箱,Gomibako,Trash_box,trash can
item_204,I13,word,小さな家庭用品,household,財布,Saifu,Wallet,wallet
item_205,I14,word,小さな家庭用品,household,シャンプー,Syanpuu,Shampoo,shampoo
