definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
звать,action_words,NA,word,produces,NA,item_450,call/invite,invite
звонить,action_words,NA,word,produces,NA,item_451,ring/call,call
играть,action_words,NA,word,produces,NA,item_452,play,play
идти/пойти,action_words,NA,word,produces,NA,item_453,go,go
искать,action_words,NA,word,produces,NA,item_454,look for,look for
какать,action_words,NA,word,produces,NA,item_455,dump,go potty
капать,action_words,NA,word,produces,NA,item_456,drop,drip
катать/кататься,action_words,NA,word,produces,NA,item_457,ride,ride
качать/качаться,action_words,NA,word,produces,NA,item_458,swing,swing (action)
кидать,action_words,NA,word,produces,NA,item_459,throw,throw
класть,action_words,NA,word,produces,NA,item_460,put,put
копать,action_words,NA,word,produces,NA,item_461,dig/shovel,dig
кормить,action_words,NA,word,produces,NA,item_462,feed,feed
красить,action_words,NA,word,produces,NA,item_463,paint,paint (action)
кричать,action_words,NA,word,produces,NA,item_464,shout,shout
купать/купаться,action_words,NA,word,produces,NA,item_465,bath/give a bath,bathe
кусать/кусаться,action_words,NA,word,produces,NA,item_466,bite,bite
кушать,action_words,NA,word,produces,NA,item_467,eat,eat
лежать,action_words,NA,word,produces,NA,item_468,lie,lie down
лезть,action_words,NA,word,produces,NA,item_469,climb,climb
летать/лететь,action_words,NA,word,produces,NA,item_470,fly,fly (action)
лизать,action_words,NA,word,produces,NA,item_471,lick,lick
ломать,action_words,NA,word,produces,NA,item_472,break,break
любить,action_words,NA,word,produces,NA,item_473,love,love
мазать,action_words,NA,word,produces,NA,item_474,smear,smear
мыть/мыться,action_words,NA,word,produces,NA,item_475,wash,wash
назвать/называться,action_words,NA,word,produces,NA,item_476,call/be called,name
нести,action_words,NA,word,produces,NA,item_477,carry,bring
нравиться,action_words,NA,word,produces,NA,item_478,like,like
облить,action_words,NA,word,produces,NA,item_479,pour (sluice),pour
обнимать,action_words,NA,word,produces,NA,item_480,hug,hug
одевать,action_words,NA,word,produces,NA,item_481,put on,dress (action)
открыть,action_words,NA,word,produces,NA,item_482,open,open (action)
падать,action_words,NA,word,produces,NA,item_483,fall,fall
петь,action_words,NA,word,produces,NA,item_484,sing,sing
пúсать,action_words,NA,word,produces,NA,item_485,tinkle/wee,go potty
писáть,action_words,NA,word,produces,NA,item_486,write,write
пить,action_words,NA,word,produces,NA,item_487,drink,drink (action)
плавать/плыть,action_words,NA,word,produces,NA,item_488,swim,swim
плакать,action_words,NA,word,produces,NA,item_489,cry,cry
подметать,action_words,NA,word,produces,NA,item_490,sweep,sweep
поймать,action_words,NA,word,produces,NA,item_491,catch,catch
показать,action_words,NA,word,produces,NA,item_492,show,show
покупать,action_words,NA,word,produces,NA,item_493,buy,buy
положить,action_words,NA,word,produces,NA,item_494,put,put
ползать,action_words,NA,word,produces,NA,item_495,creep,crawl
помнить,action_words,NA,word,produces,NA,item_496,remember,remember
помогать,action_words,NA,word,produces,NA,item_497,help,help
причесать/причесаться,action_words,NA,word,produces,NA,item_498,comb,comb (action)
прыгать,action_words,NA,word,produces,NA,item_499,jump,jump
прятать/прятаться,action_words,NA,word,produces,NA,item_500,hide,hide
работать,action_words,NA,word,produces,NA,item_501,work,work (action)
резать,action_words,NA,word,produces,NA,item_502,cut,cut
рисовать,action_words,NA,word,produces,NA,item_503,draw,draw
сидеть,action_words,NA,word,produces,NA,item_504,sit,sit
слушать/слышать,action_words,NA,word,produces,NA,item_505,hear,hear
смеяться,action_words,NA,word,produces,NA,item_506,laugh,laugh
смотреть,action_words,NA,word,produces,NA,item_507,look,look
снимать,action_words,NA,word,produces,NA,item_508,take off,remove
собирать,action_words,NA,word,produces,NA,item_509,pick,collect
спать,action_words,NA,word,produces,NA,item_510,sleep,sleep
ставить,action_words,NA,word,produces,NA,item_511,put,put
стирать,action_words,NA,word,produces,NA,item_512,wash (launder),wash
стоять,action_words,NA,word,produces,NA,item_513,stand,stand
стричь,action_words,NA,word,produces,NA,item_514,cut (nails/hair),cut
строить,action_words,NA,word,produces,NA,item_515,build,build
стучать/стучаться,action_words,NA,word,produces,NA,item_516,knock,knock
танцевать,action_words,NA,word,produces,NA,item_517,dance,dance
тащить,action_words,NA,word,produces,NA,item_518,drag/carry/bring,carry
толкать,action_words,NA,word,produces,NA,item_519,push,push
улыбаться,action_words,NA,word,produces,NA,item_520,smile,smile
устать,action_words,NA,word,produces,NA,item_521,get tired,tire (action)
хватать,action_words,NA,word,produces,NA,item_522,catch,grab
хлопать,action_words,NA,word,produces,NA,item_523,clap,clap
хотеть,action_words,NA,word,produces,NA,item_524,want,want
ходить,action_words,NA,word,produces,NA,item_525,go/walk,walk
целовать,action_words,NA,word,produces,NA,item_526,kiss,kiss
чистить,action_words,NA,word,produces,NA,item_527,clean,clean (action)
читать,action_words,NA,word,produces,NA,item_528,read,read
чихать,action_words,NA,word,produces,NA,item_529,sneeze,sneeze
щекотать,action_words,NA,word,produces,NA,item_530,tickle,tickle
больной,descriptive_words (adjectives),NA,word,produces,NA,item_531,sick,sick
большой,descriptive_words (adjectives),NA,word,produces,NA,item_532,big,big
быстрый,descriptive_words (adjectives),NA,word,produces,NA,item_533,fast,fast
веселый,descriptive_words (adjectives),NA,word,produces,NA,item_534,merry,happy
вкусный,descriptive_words (adjectives),NA,word,produces,NA,item_535,tasty,tasty
высокий,descriptive_words (adjectives),NA,word,produces,NA,item_536,high/tall,high
голодный,descriptive_words (adjectives),NA,word,produces,NA,item_537,hungry,hungry
голый,descriptive_words (adjectives),NA,word,produces,NA,item_538,bare/naked,naked
горький,descriptive_words (adjectives),NA,word,produces,NA,item_539,bitter,bitter
горячий,descriptive_words (adjectives),NA,word,produces,NA,item_540,hot,hot
громкий,descriptive_words (adjectives),NA,word,produces,NA,item_541,loud,loud
грязный,descriptive_words (adjectives),NA,word,produces,NA,item_542,yucky,dirty
длинный,descriptive_words (adjectives),NA,word,produces,NA,item_543,long,long
добрый,descriptive_words (adjectives),NA,word,produces,NA,item_544,good,nice
игрушечный,descriptive_words (adjectives),NA,word,produces,NA,item_545,toy,toy (description)
кислый,descriptive_words (adjectives),NA,word,produces,NA,item_546,sour,sour
короткий,descriptive_words (adjectives),NA,word,produces,NA,item_547,short,short
красивый,descriptive_words (adjectives),NA,word,produces,NA,item_548,pretty,pretty
маленький,descriptive_words (adjectives),NA,word,produces,NA,item_549,little,little (description)
медленный,descriptive_words (adjectives),NA,word,produces,NA,item_550,slow,slow
мокрый,descriptive_words (adjectives),NA,word,produces,NA,item_551,wet,wet (description)
мягкий,descriptive_words (adjectives),NA,word,produces,NA,item_552,soft,soft
настоящий,descriptive_words (adjectives),NA,word,produces,NA,item_553,real/true,real
непослушный,descriptive_words (adjectives),NA,word,produces,NA,item_554,naughty,naughty
новый,descriptive_words (adjectives),NA,word,produces,NA,item_555,new,new
плохой,descriptive_words (adjectives),NA,word,produces,NA,item_556,bad,bad
полный,descriptive_words (adjectives),NA,word,produces,NA,item_557,full,full
похожий,descriptive_words (adjectives),NA,word,produces,NA,item_558,alike,similar
пустой,descriptive_words (adjectives),NA,word,produces,NA,item_559,empty,empty
сильный,descriptive_words (adjectives),NA,word,produces,NA,item_560,strong,strong
сладкий,descriptive_words (adjectives),NA,word,produces,NA,item_561,sweet,sweet
сломанный,descriptive_words (adjectives),NA,word,produces,NA,item_562,broken,broken
соленый,descriptive_words (adjectives),NA,word,produces,NA,item_563,salty,salty
старый,descriptive_words (adjectives),NA,word,produces,NA,item_564,old,old
страшный,descriptive_words (adjectives),NA,word,produces,NA,item_565,scary,scary
сухой,descriptive_words (adjectives),NA,word,produces,NA,item_566,dry,dry (description)
теплый,descriptive_words (adjectives),NA,word,produces,NA,item_567,warm,warm
тихий,descriptive_words (adjectives),NA,word,produces,NA,item_568,quiet,quiet
толстый,descriptive_words (adjectives),NA,word,produces,NA,item_569,fat/thick,fat
тяжелый,descriptive_words (adjectives),NA,word,produces,NA,item_570,heavy,heavy
умный,descriptive_words (adjectives),NA,word,produces,NA,item_571,clever,smart
холодный,descriptive_words (adjectives),NA,word,produces,NA,item_572,cold,cold
хороший,descriptive_words (adjectives),NA,word,produces,NA,item_573,good/nice,good
чистый,descriptive_words (adjectives),NA,word,produces,NA,item_574,clean,clean (description)
белый,descriptive_words (adjectives),NA,word,produces,NA,item_575,white,white
желтый,descriptive_words (adjectives),NA,word,produces,NA,item_576,yellow,yellow
зеленый,descriptive_words (adjectives),NA,word,produces,NA,item_577,green,green
коричневый,descriptive_words (adjectives),NA,word,produces,NA,item_578,brown,brown
красный,descriptive_words (adjectives),NA,word,produces,NA,item_579,red,red
оранжевый,descriptive_words (adjectives),NA,word,produces,NA,item_580,orange,orange (description)
синий,descriptive_words (adjectives),NA,word,produces,NA,item_581,blue,blue
черный,descriptive_words (adjectives),NA,word,produces,NA,item_582,black,black
больно,descriptive_words (adverbs),NA,word,produces,NA,item_583,paintfully/boo-boo,painful
быстро,descriptive_words (adverbs),NA,word,produces,NA,item_584,quick (quickly),quick
весело,descriptive_words (adverbs),NA,word,produces,NA,item_585,cheerfully,happy
вкусно,descriptive_words (adverbs),NA,word,produces,NA,item_586,tastefully,yummy
вместе,descriptive_words (adverbs),NA,word,produces,NA,item_587,together,together
горько,descriptive_words (adverbs),NA,word,produces,NA,item_588,bitterly,bitter
горячо,descriptive_words (adverbs),NA,word,produces,NA,item_589,hot,hot
громко,descriptive_words (adverbs),NA,word,produces,NA,item_590,loud (loudly),loud
грязно,descriptive_words (adverbs),NA,word,produces,NA,item_591,dirty,dirty
кисло,descriptive_words (adverbs),NA,word,produces,NA,item_592,sour,sour
красиво,descriptive_words (adverbs),NA,word,produces,NA,item_593,beautifully,beautiful
мокро,descriptive_words (adverbs),NA,word,produces,NA,item_594,wet,wet
мягко,descriptive_words (adverbs),NA,word,produces,NA,item_595,softly,soft
никак,descriptive_words (adverbs),NA,word,produces,NA,item_596,in no way,in no way
опять,descriptive_words (adverbs),NA,word,produces,NA,item_597,again,again
осторожно,descriptive_words (adverbs),NA,word,produces,NA,item_598,carefully/be carefull,careful
плохо,descriptive_words (adverbs),NA,word,produces,NA,item_599,badly/poorly,bad
сильно,descriptive_words (adverbs),NA,word,produces,NA,item_600,strongly/badly/hard,strong
сладко,descriptive_words (adverbs),NA,word,produces,NA,item_601,sweet,sweet
совсем,descriptive_words (adverbs),NA,word,produces,NA,item_602,quite,very
сухо,descriptive_words (adverbs),NA,word,produces,NA,item_603,drily,dry (description)
темно,descriptive_words (adverbs),NA,word,produces,NA,item_604,dark,dark
тепло,descriptive_words (adverbs),NA,word,produces,NA,item_605,warm,warm
тихо/тише,descriptive_words (adverbs),NA,word,produces,NA,item_606,quietly/shh,quiet
тяжело,descriptive_words (adverbs),NA,word,produces,NA,item_607,heavily,heavy
холодно,descriptive_words (adverbs),NA,word,produces,NA,item_608,cold,cold
хорошо,descriptive_words (adverbs),NA,word,produces,NA,item_609,good,good
чисто,descriptive_words (adverbs),NA,word,produces,NA,item_610,cleanly,clean (description)
вечер,time_words,NA,word,produces,NA,item_611,evening,evening
день,time_words,NA,word,produces,NA,item_612,day,day
ночь,time_words,NA,word,produces,NA,item_613,night,night
утро,time_words,NA,word,produces,NA,item_614,morning,morning
вечером,time_words,NA,word,produces,NA,item_615,in the evening,evening
днем,time_words,NA,word,produces,NA,item_616,in the afternoon,day
ночью,time_words,NA,word,produces,NA,item_617,by night,night
утром,time_words,NA,word,produces,NA,item_618,in the morning,morning
вчера,time_words,NA,word,produces,NA,item_619,yesterday,yesterday
сегодня,time_words,NA,word,produces,NA,item_620,today,today
завтра,time_words,NA,word,produces,NA,item_621,tomorrow,tomorrow
потом,time_words,NA,word,produces,NA,item_622,aften/later/then,later
сейчас,time_words,NA,word,produces,NA,item_623,now,now
поздно,time_words,NA,word,produces,NA,item_624,late,late
рано,time_words,NA,word,produces,NA,item_625,early,early
скоро,time_words,NA,word,produces,NA,item_626,soon,soon
я,pronouns,NA,word,produces,NA,item_627,I,1SG
ты,pronouns,NA,word,produces,NA,item_628,you,2SG
мы,pronouns,NA,word,produces,NA,item_629,we,1PL
вы,pronouns,NA,word,produces,NA,item_630,you,2PL
он,pronouns,NA,word,produces,NA,item_631,he,3SG
она,pronouns,NA,word,produces,NA,item_632,she,3SG
они,pronouns,NA,word,produces,NA,item_633,they,3PL
меня,pronouns,NA,word,produces,NA,item_634,me,1SG.POSS
тебя,pronouns,NA,word,produces,NA,item_635,you,2SG.POSS
нас,pronouns,NA,word,produces,NA,item_636,us,1PL.POSS
вас,pronouns,NA,word,produces,NA,item_637,you,2PL.POSS
его,pronouns,NA,word,produces,NA,item_638,him,3SG.POSS
ее (genitive),pronouns,NA,word,produces,NA,item_639,her,3SG.POSS
их (genitive),pronouns,NA,word,produces,NA,item_640,them,3PL.POSS
мне,pronouns,NA,word,produces,NA,item_641,me,1SG
тебе,pronouns,NA,word,produces,NA,item_642,you,2SG
нам,pronouns,NA,word,produces,NA,item_643,us,1PL
вам,pronouns,NA,word,produces,NA,item_644,your,2PL
ему,pronouns,NA,word,produces,NA,item_645,him,3SG
ей,pronouns,NA,word,produces,NA,item_646,her,3SG
им,pronouns,NA,word,produces,NA,item_647,them,3PL
мой/моя,pronouns,NA,word,produces,NA,item_648,my/mine,1SG.POSS
твой,pronouns,NA,word,produces,NA,item_649,your,2SG.POSS
наш,pronouns,NA,word,produces,NA,item_650,our,1PL.POSS
ваш,pronouns,NA,word,produces,NA,item_651,your,2PL.POSS
его,pronouns,NA,word,produces,NA,item_652,his,3SG.POSS
ее (possessive),pronouns,NA,word,produces,NA,item_653,her,3SG.POSS
их (possessive),pronouns,NA,word,produces,NA,item_654,their,3PL.POSS
такой/такой же/такая,pronouns,NA,word,produces,NA,item_655,such/same,same
тот/та/те,pronouns,NA,word,produces,NA,item_656,that/those,that
это/этот/эти,pronouns,NA,word,produces,NA,item_657,this/these,this
сам/сама,pronouns,NA,word,produces,NA,item_658,myself/yourself,REFL
где?,question_words,NA,word,produces,NA,item_659,where,where (question)
зачем?,question_words,NA,word,produces,NA,item_660,what for,why
как?,question_words,NA,word,produces,NA,item_661,how,how
какой?,question_words,NA,word,produces,NA,item_662,what/which,which (question)
когда?,question_words,NA,word,produces,NA,item_663,when,when (question)
кто?,question_words,NA,word,produces,NA,item_664,who,who
куда?,question_words,NA,word,produces,NA,item_665,where,where (question)
почему?,question_words,NA,word,produces,NA,item_666,why,why
сколько?,question_words,NA,word,produces,NA,item_667,how much,how much
чей?,question_words,NA,word,produces,NA,item_668,whose,whose
что?,question_words,NA,word,produces,NA,item_669,what,what
в (напр. в магазин; в доме),locations,NA,word,produces,NA,item_670,to/into/in,in
за (напр. за папой),locations,NA,word,produces,NA,item_671,after/behind,behind
из (напр. из чашки),locations,NA,word,produces,NA,item_672,from,out
к (напр. к маме),locations,NA,word,produces,NA,item_673,to,to
на (напр. на столе),locations,NA,word,produces,NA,item_674,on/at,on
перед (напр. перед домом),locations,NA,word,produces,NA,item_675,in front of,before
по (напр. по столу),locations,NA,word,produces,NA,item_676,on/along,along
вверх/вверху,locations,NA,word,produces,NA,item_677,up,up
наверх/наверху,locations,NA,word,produces,NA,item_678,upward/on top of,on top of
вниз/внизу,locations,NA,word,produces,NA,item_679,down/below,down
вон,locations,NA,word,produces,NA,item_680,there,there
вот,locations,NA,word,produces,NA,item_681,there/here,here
вперед/впереди,locations,NA,word,produces,NA,item_682,forward/before,forward
высоко,locations,NA,word,produces,NA,item_683,high,high
назад,locations,NA,word,produces,NA,item_684,back,back (location)
низко,locations,NA,word,produces,NA,item_685,low,low
отсюда,locations,NA,word,produces,NA,item_686,from here,from here
оттуда,locations,NA,word,produces,NA,item_687,from there,from there
рядом,locations,NA,word,produces,NA,item_688,next to,beside
сюда,locations,NA,word,produces,NA,item_689,here,to here
там,locations,NA,word,produces,NA,item_690,there,there
под (напр. по стулом),locations,NA,word,produces,NA,item_691,under,under
у (напр. у Ани),locations,NA,word,produces,NA,item_692,s,at
близко/ближе,locations,NA,word,produces,NA,item_693,near,near
далеко,locations,NA,word,produces,NA,item_694,far,far
домой,locations,NA,word,produces,NA,item_695,home,home
здесь,locations,NA,word,produces,NA,item_696,here,here
туда,locations,NA,word,produces,NA,item_697,there,to there
тут,locations,NA,word,produces,NA,item_698,here,here
все,quantifiers,NA,word,produces,NA,item_699,all,all
всё (в знач. нет кончилось),quantifiers,NA,word,produces,NA,item_700,gone,all gone
еще,quantifiers,NA,word,produces,NA,item_701,more,more
другой,quantifiers,NA,word,produces,NA,item_702,other/another,another
мало,quantifiers,NA,word,produces,NA,item_703,few,little (amount)
много,quantifiers,NA,word,produces,NA,item_704,much/a lot,a lot
несколько,quantifiers,NA,word,produces,NA,item_705,some,some
нет (amount),quantifiers,NA,word,produces,NA,item_706,no/gone,none
хватит,quantifiers,NA,word,produces,NA,item_707,enough,enough
чуть-чуть,quantifiers,NA,word,produces,NA,item_708,just a little,a little
один,quantifiers,NA,word,produces,NA,item_709,one,one
два,quantifiers,NA,word,produces,NA,item_710,two,two
три,quantifiers,NA,word,produces,NA,item_711,three,three
четыре,quantifiers,NA,word,produces,NA,item_712,four,four
пять,quantifiers,NA,word,produces,NA,item_713,five,five
а,connecting_words,NA,word,produces,NA,item_714,but/and,but
где,connecting_words,NA,word,produces,NA,item_715,where,where (conjunction)
если,connecting_words,NA,word,produces,NA,item_716,if,if
и,connecting_words,NA,word,produces,NA,item_717,and,and
или,connecting_words,NA,word,produces,NA,item_718,or,or
как,connecting_words,NA,word,produces,NA,item_719,as/like,as
какой,connecting_words,NA,word,produces,NA,item_720,what,which (connecting)
когда,connecting_words,NA,word,produces,NA,item_721,when,when (conjunction)
который,connecting_words,NA,word,produces,NA,item_722,which,which (connecting)
но,connecting_words,NA,word,produces,NA,item_723,but,but
потому что,connecting_words,NA,word,produces,NA,item_724,because,because
тоже,connecting_words,NA,word,produces,NA,item_725,too,also
что,connecting_words,NA,word,produces,NA,item_726,that,that
а то,connecting_words,NA,word,produces,NA,item_727,or else/or,or
чтобы,connecting_words,NA,word,produces,NA,item_728,in order to,to
