itemID,item,gloss,uni_lemma,definition,category,type,choices
item_481,cerrar,close,close,cerrar,,word,produces
item_482,chupar,suck,,chupar,,word,produces
item_483,cocinar,cook,cook,cocinar,,word,produces
item_484,entrar,enter,enter,entrar,,word,produces
item_485,equivocar_se,make a mistake,,equivocar_se,,word,produces
item_486,esconder_se,hide,hide,esconder_se,,word,produces
item_487,escribir,write,write,escribir,,word,produces
item_488,escuchar,listen,listen,escuchar,,word,produces
item_489,esperar,wait,,esperar,,word,produces
item_490,ganar,win,win,ganar,,word,produces
item_491,gritar,shout,shout,gritar,,word,produces
item_492,guardar,save,,guardar,,word,produces
item_493,gustar,like,like,gustar,,word,produces
item_494,hablar,talk,,hablar,,word,produces
item_495,hacer,do,do,hacer,,word,produces
item_496,hamacar,swing ,,hamacar,,word,produces
item_497,nadar,swim,swim,nadar,,word,produces
item_498,oír,hear,hear,oír,,word,produces
item_499,parar_se,"get up, stand up",,parar_se,,word,produces
item_500,patear,kick,kick,patear,,word,produces
item_501,patinar,skate,skate,patinar,,word,produces
item_502,pegar_se,hit,hit,pegar_se,,word,produces
item_503,peinar_se,comb (action),comb (action),peinar_se,,word,produces
item_504,pensar,think,think,pensar,,word,produces
item_505,perder,waste,waste,perder,,word,produces
item_506,pintar,paint,paint,pintar,,word,produces
item_507,poder,poser,,poder,,word,produces
item_508,poner_se,put,put,poner_se,,word,produces
item_509,prender,switch on,turn on,prender,,word,produces
item_510,soplar,blow,blow,soplar,,word,produces
item_511,subir_se,climb,climb,subir_se,,word,produces
item_512,tapar,cover (action),cover (action),tapar,,word,produces
item_513,tener,have,have,tener,,word,produces
item_514,terminar,finish,finish,terminar,,word,produces
item_515,tirar,throw,throw,tirar,,word,produces
item_516,tocar,touch,touch,tocar,,word,produces
item_517,tomar_se,take,take,tomar_se,,word,produces
