itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category,
item_209,cotovelo,word,body_parts,produces,Cotovelo,,,,Cotovelo
item_210,dedo,word,body_parts,produces,Dedo,,,,Dedo
item_211,dentes,word,body_parts,produces,Dente(s),,,,Dentes
item_212,joelho,word,body_parts,produces,Joelho,,,,Joelho
item_213,lingua,word,body_parts,produces,Língua,,,,Língua
item_214,maminhas,word,body_parts,produces,Maminhas,,,,Maminhas
item_215,maos,word,body_parts,produces,Mão(s),,,,Mãos
item_216,nariz,word,body_parts,produces,Nariz,,,,Nariz
item_217,olhos,word,body_parts,produces,Olhos,,,,Olhos
item_218,ombros,word,body_parts,produces,Ombros,,,,Ombros
item_219,orelha,word,body_parts,produces,Orelha,,,,Orelha
item_220,ouvidos,word,body_parts,produces,Ouvido(s),,,,Ouvidos
item_221,pes,word,body_parts,produces,Pé(s),,,,Pés
item_222,peito,word,body_parts,produces,Peito,,,,Peito
item_223,pernas,word,body_parts,produces,Perna(s),,,,Pernas
item_224,pescoco,word,body_parts,produces,Pescoço,,,,Pescoço
item_225,pestanas,word,body_parts,produces,Pestanas,,,,Pestanas
item_226,pipi,word,body_parts,produces,Pipi,,,,Pipi
item_227,pilinha,word,body_parts,produces,Pilinha/Pila/Pilau,,,,Pilinha
item_228,queixo,word,body_parts,produces,Queixo,,,,Queixo
item_229,rabo,word,body_parts,produces,Rabo / Tutu,,,,Rabo
item_230,sobrancelhas,word,body_parts,produces,Sobracelhas,,,,Sobrancelhas
item_231,testa,word,body_parts,produces,Testa,,,,Testa
item_232,tornozelo,word,body_parts,produces,Tornozelo,,,,Tornozelo
item_233,umbigo,word,body_parts,produces,Umbigo,,,,Umbigo
item_234,unhas,word,body_parts,produces,Unhas,,,,Unhas
item_235,almofada,word,household,produces,Almofada,,,,Almofada
item_236,aspirador,word,household,produces,Aspirador,,,,Aspirador
item_237,banho,word,household,produces,Banho,,,,Banho
item_238,biberao,word,household,produces,Biberão,,,,Biberão
item_239,caixa,word,household,produces,Caixa,,,,Caixa
item_240,candeeiro,word,household,produces,Candeeiro,,,,Candeeiro
item_241,champo,word,household,produces,Champô,,,,Champô
item_242,chaves,word,household,produces,Chaves,,,,Chaves
item_243,chupeta,word,household,produces,Chupeta / Chucha,,,,Chupeta
item_244,cobertor,word,household,produces,Cobertor,,,,Cobertor
item_245,colher,word,household,produces,Colher,,,,Colher
item_246,comando,word,household,produces,Comando,,,,Comando
item_247,computador_ob,word,household,produces,Computador,,,,Computador_ob
item_248,copo,word,household,produces,Copo,,,,Copo
item_249,dinheiro,word,household,produces,Dinheiro,,,,Dinheiro
item_250,duche,word,household,produces,Duche,,,,Duche
item_251,escova,word,household,produces,Escova,,,,Escova
item_252,escova_dentes,word,household,produces,Escova de dentes,,,,Escova_dentes
item_253,faca,word,household,produces,Faca,,,,Faca
item_254,fotografia,word,household,produces,Fotografia,,,,Fotografia
item_255,garfo,word,household,produces,Garfo,,,,Garfo
item_256,garrafa,word,household,produces,Garrafa,,,,Garrafa
item_257,guardanapos,word,household,produces,Guardanapos,,,,Guardanapos
item_258,lata,word,household,produces,Lata,,,,Lata
item_259,lencois,word,household,produces,Lençóis,,,,Lençóis
item_260,lixo,word,household,produces,Lixo,,,,Lixo
item_261,luz,word,household,produces,Luz,,,,Luz
item_262,manta,word,household,produces,Manta,,,,Manta
item_263,mola,word,household,produces,Mola (roupa),,,,Mola
item_264,moeda,word,household,produces,Moeda / Tostão,,,,Moeda
item_265,oculos,word,household,produces,Óculos,,,,Óculos
item_266,panela,word,household,produces,Panela,,,,Panela
item_267,pano,word,household,produces,Pano,,,,Pano
item_268,papel,word,household,produces,Papel,,,,Papel
item_269,papel_higienico,word,household,produces,Papel higiénico,,,,Papel_higiénico
item_270,pente,word,household,produces,Pente,,,,Pente
item_271,perfume,word,household,produces,Perfume / Colónia,,,,Perfume
item_272,pote,word,household,produces,Pote / penico / bacio,,,,Pote
item_273,prato,word,household,produces,Prato,,,,Prato
item_274,sabao,word,household,produces,Sabão / sabonete,,,,Sabão
item_275,saco,word,household,produces,Saco,,,,Saco
item_276,secador,word,household,produces,Secador (cabelo),,,,Secador
