"definition","uni_lemma","gloss","category","item","type","choices","complexity_category","itemID"
"rupčić",,"handkerchief","clothing","rupcic","word","produces",,"item_175"
"rukavice",,"gloves","clothing","rukavice","word","produces",,"item_176"
"suknja",,"skirt","clothing","suknja","word","produces",,"item_177"
"šal",,"scarf","clothing","sal","word","produces",,"item_178"
"štramplice",,"children`s tights","clothing","stramplice","word","produces",,"item_179"
"tenisice",,"sneaker","clothing","tenisice","word","produces",,"item_180"
"traperice",,"jeans","clothing","traperice","word","produces",,"item_181"
"trenirka",,"tracksuit","clothing","trenirka","word","produces",,"item_182"
"zatvarač",,"zipper","clothing","zatvarac","word","produces",,"item_183"
"brada",,"chin","body_parts","brada","word","produces",,"item_184"
"glava",,"head","body_parts","glava","word","produces",,"item_185"
"gležanj",,"ankle","body_parts","glezanj","word","produces",,"item_186"
"guza",,"buttocks","body_parts","guza","word","produces",,"item_187"
"jezik",,"tongue","body_parts","jezik","word","produces",,"item_188"
"koljeno",,"knee","body_parts","koljeno","word","produces",,"item_189"
"kosa",,"hair","body_parts","kosa","word","produces",,"item_190"
"lice",,"face","body_parts","lice","word","produces",,"item_191"
"noga",,"leg","body_parts","noga","word","produces",,"item_192"
"nos",,"nose","body_parts","nos","word","produces",,"item_193"
"obraz","cheek","cheek","body_parts","obraz","word","produces",,"item_194"
"oko",,"eye","body_parts","oko","word","produces",,"item_195"
"palac",,"thumb","body_parts","palac","word","produces",,"item_196"
"penis",,"penis","body_parts","penis","word","produces",,"item_197"
"prst",,"finger","body_parts","prst","word","produces",,"item_198"
"pupak",,"belly button","body_parts","pupak","word","produces",,"item_199"
"rame",,"shoulder","body_parts","rame","word","produces",,"item_200"
"ruka",,"hand","body_parts","ruka","word","produces",,"item_201"
"stopalo",,"feet","body_parts","stopalo","word","produces",,"item_202"
"šaka",,"fist","body_parts","saka","word","produces",,"item_203"
"trbuh",,"tummy","body_parts","trbuh","word","produces",,"item_204"
"uho",,"ear","body_parts","uho","word","produces",,"item_205"
"usnice",,"lips","body_parts","usnice","word","produces",,"item_206"
"usta",,"mouth","body_parts","usta","word","produces",,"item_207"
"vagina",,"vagina","body_parts","vagina","word","produces",,"item_208"
"vrat",,"neck","body_parts","vrat","word","produces",,"item_209"
"zub",,"tooth","body_parts","zub","word","produces",,"item_210"
"biljka",,"plant","household","biljka","word","produces",,"item_211"
"boca",,"bottle","household","boca","word","produces",,"item_212"
"bočica (s dudom)",,"feeding bottle","household","bocica_(s_dudom)","word","produces",,"item_213"
"čaša",,"glass","household","casa","word","produces",,"item_214"
"čavao",,"nail","household","cavao","word","produces",,"item_215"
"čekić",,"hammer","household","cekic","word","produces",,"item_216"
"češalj",,"comb","household","cesalj","word","produces",,"item_217"
"četka",,"brush","household","cetka","word","produces",,"item_218"
"četkica za zube","toothbrush","toothbrush","household","cetkica_za_zube","word","produces",,"item_219"
"deka",,"blanket","household","deka","word","produces",,"item_220"
"hodalica",,"walker","household","hodalica","word","produces",,"item_221"
"igla",,"needle","household","igla","word","produces",,"item_222"
"jastuk",,"pillow","household","jastuk","word","produces",,"item_223"
"kamera",,"camera","household","kamera","word","produces",,"item_224"
"kantica",,"bucket","household","kantica","word","produces",,"item_225"
"kanta (za smeće)",,"trash can","household","kanta_(za_smece)","word","produces",,"item_226"
"ključevi",,"keys","household","kljucevi","word","produces",,"item_227"
"kolica",,"stroller","household","kolica","word","produces",,"item_228"
"košara",,"basket","household","kosara","word","produces",,"item_229"
"kuhača",,"ladle","household","kuhaca","word","produces",,"item_230"
"kutija",,"box","household","kutija","word","produces",,"item_231"
"lavor",,"washbowl","household","lavor","word","produces",,"item_232"
"lijek",,"medicine","household","lijek","word","produces",,"item_233"
"limenka",,"can","household","limenka","word","produces",,"item_234"
"lonac",,"pot","household","lonac","word","produces",,"item_235"
"lopatica (za smeće)",,"dustpan","household","lopatica_(za_smece)","word","produces",,"item_236"
"metla",,"broom","household","metla","word","produces",,"item_237"
"naočale",,"glasses","household","naocale","word","produces",,"item_238"
"novac","money","money","household","novac","word","produces",,"item_239"
"novčanik",,"wallet","household","novcanik","word","produces",,"item_240"
"nož",,"knife","household","noz","word","produces",,"item_241"
"papir",,"paper","household","papir","word","produces",,"item_242"
"radio",,"radio","household","radio","word","produces",,"item_243"
"ručnik",,"towel","household","rucnik","word","produces",,"item_244"
"salveta",,"napkin","household","salveta","word","produces",,"item_245"
"sapun",,"soap","household","sapun","word","produces",,"item_246"
"sat",,"clock","household","sat","word","produces",,"item_247"
"slika",,"picture","household","slika","word","produces",,"item_248"
"smeće",,"trash","household","smece","word","produces",,"item_249"
"svjetiljka",,"lamp","household","svjetiljka","word","produces",,"item_250"
"svjetlo",,"light","household","svjetlo","word","produces",,"item_251"
"šalica",,"cup","household","salica","word","produces",,"item_252"
"škare",,"scissors","household","skare","word","produces",,"item_253"
"tanjur",,"plate","household","tanjur","word","produces",,"item_254"
"telefon",,"telephone","household","telefon","word","produces",,"item_255"
"usisavač","vacuum","vacuum","household","usisavac","word","produces",,"item_256"
"vilica",,"fork","household","vilica","word","produces",,"item_257"
"zdjelica",,"bowl","household","zdjelica","word","produces",,"item_258"
"zvono",,"bell","household","zvono","word","produces",,"item_259"
"žlica",,"spoon","household","zlica","word","produces",,"item_260"
"balkon",,"balcony","furniture_rooms","balkon","word","produces",,"item_261"
"dnevna soba",,"living room","furniture_rooms","dnevna_soba","word","produces",,"item_262"
"fotelja",,"armchair","furniture_rooms","fotelja","word","produces",,"item_263"
"garaža",,"garage","furniture_rooms","garaza","word","produces",,"item_264"
"hladnjak",,"refrigerator","furniture_rooms","hladnjak","word","produces",,"item_265"
"hodnik",,"hallway","furniture_rooms","hodnik","word","produces",,"item_266"
"kada (object)","bathtub","bathtub","furniture_rooms","kada","word","produces",,"item_267"
"kauč",,"couch","furniture_rooms","kauc","word","produces",,"item_268"
"klupa",,"bench","furniture_rooms","klupa","word","produces",,"item_269"
"kolijevka",,"cot","furniture_rooms","kolijevka","word","produces",,"item_270"
"krevet",,"bed","furniture_rooms","krevet","word","produces",,"item_271"
"krevetić",,"crib","furniture_rooms","krevetic","word","produces",,"item_272"
"kuhinja",,"kitchen","furniture_rooms","kuhinja","word","produces",,"item_273"
"kupaonica",,"bathroom","furniture_rooms","kupaonica","word","produces",,"item_274"
"ladica",,"drawer","furniture_rooms","ladica","word","produces",,"item_275"
"ogradica (vrtić za igranje)",,"play pen","furniture_rooms","ogradica_(vrtic_za_igranje)","word","produces",,"item_276"
"ormar",,"closet","furniture_rooms","ormar","word","produces",,"item_277"
"pećnica",,"oven","furniture_rooms","pecnica","word","produces",,"item_278"
"podrume",,"basement","furniture_rooms","podrume","word","produces",,"item_279"
"prozor",,"window","furniture_rooms","prozor","word","produces",,"item_280"
"soba",,"room","furniture_rooms","soba","word","produces",,"item_281"
"spavaća soba",,"bedroom","furniture_rooms","spavaca_soba","word","produces",,"item_282"
"stepenice",,"stairs","furniture_rooms","stepenice","word","produces",,"item_283"
"stol",,"table","furniture_rooms","stol","word","produces",,"item_284"
"stolica",,"chair","furniture_rooms","stolica","word","produces",,"item_285"
"stroj za (pranje) rublja",,"washing machine","furniture_rooms","stroj_za_(pranje)_rublja","word","produces",,"item_286"
"štednjak",,"stove","furniture_rooms","stednjak","word","produces",,"item_287"
"televizor",,"TV","furniture_rooms","televizor","word","produces",,"item_288"
"tuš",,"shower","furniture_rooms","tus","word","produces",,"item_289"
"tuta",,"potty","furniture_rooms","tuta","word","produces",,"item_290"
"umivaonik",,"sink","furniture_rooms","umivaonik","word","produces",,"item_291"
"vrata",,"door","furniture_rooms","vrata","word","produces",,"item_292"
"zahod",,"toilet","furniture_rooms","zahod","word","produces",,"item_293"
"bazen",,"pool","outside","bazen","word","produces",,"item_294"
"cvijeće",,"flowers","outside","cvijece","word","produces",,"item_295"
"drvo",,"tree","outside","drvo","word","produces",,"item_296"
"dvorište",,"backyard","outside","dvoriste","word","produces",,"item_297"
"kamen",,"rock","outside","kamen","word","produces",,"item_298"
"kiša",,"rain","outside","kisa","word","produces",,"item_299"
"krov",,"roof","outside","krov","word","produces",,"item_300"
"lopata",,"shovel","outside","lopata","word","produces",,"item_301"
"ljestve",,"ladder","outside","ljestve","word","produces",,"item_302"
"ljuljačka",,"swing","outside","ljuljacka","word","produces",,"item_303"
"mjesec",,"moon","outside","mjesec","word","produces",,"item_304"
"more",,"sea(side)","outside","more","word","produces",,"item_305"
"nebo",,"sky","outside","nebo","word","produces",,"item_306"
"oblak",,"cloud","outside","oblak","word","produces",,"item_307"
"ograda",,"fence","outside","ograda","word","produces",,"item_308"
"park",,"park","outside","park","word","produces",,"item_309"
"pješčanik",,"sandbox","outside","pjescanik","word","produces",,"item_310"
"pločnik",,"sidewalk","outside","plocnik","word","produces",,"item_311"
"snijeg",,"snow","outside","snijeg","word","produces",,"item_312"
"snjegović",,"snowman","outside","snjegovic","word","produces",,"item_313"
"stijena",,"stone","outside","stijena","word","produces",,"item_314"
"sunce",,"sun","outside","sunce","word","produces",,"item_315"
"štap",,"stick","outside","stap","word","produces",,"item_316"
"tobogan",,"toboggan","outside","tobogan","word","produces",,"item_317"
"trava",,"grass","outside","trava","word","produces",,"item_318"
"ulica",,"street","outside","ulica","word","produces",,"item_319"
"vjetar",,"wind","outside","vjetar","word","produces",,"item_320"
"voda (not beverage)",,"water","outside","voda","word","produces",,"item_321"
"vrt",,"garden","outside","vrt","word","produces",,"item_322"
"zastava",,"flag","outside","zastava","word","produces",,"item_323"
"zvijezda",,"star","outside","zvijezda","word","produces",,"item_324"
"bolnica",,"hospital","places","bolnica","word","produces",,"item_325"
"cirkus",,"circus","places","cirkus","word","produces",,"item_326"
"crkva",,"church","places","crkva","word","produces",,"item_327"
"dom",,"home","places","dom","word","produces",,"item_328"
"grad",,"downtown","places","grad","word","produces",,"item_329"
"igralište",,"playground","places","igraliste","word","produces",,"item_330"
"izlet",,"picnic","places","izlet","word","produces",,"item_331"
"kino",,"cinema","places","kino","word","produces",,"item_332"
"kuća",,"house","places","kuca","word","produces",,"item_333"
"livada",,"meadow","places","livada","word","produces",,"item_334"
"park",,"park","places","park","word","produces",,"item_335"
"plaža",,"beach","places","plaza","word","produces",,"item_336"
"posao",,"work","places","posao","word","produces",,"item_337"
"proslava",,"party","places","proslava","word","produces",,"item_338"
"selo",,"farm","places","selo","word","produces",,"item_339"
"šetnja",,"walk","places","setnja","word","produces",,"item_340"
"škola",,"school","places","skola","word","produces",,"item_341"
"šuma",,"woods","places","suma","word","produces",,"item_342"
"trgovina",,"store","places","trgovina","word","produces",,"item_343"
"van(i)",,"out(side)","places","van(i)","word","produces",,"item_344"
"vrtić",,"kindergarten","places","vrtic","word","produces",,"item_345"
"zoološki vrt","zoo","zoo","places","zooloski_vrt","word","produces",,"item_346"
"baka",,"grandma","people","baka","word","produces",,"item_347"
"brat",,"brother","people","brat","word","produces",,"item_348"
"čovjek",,"man","people","covjek","word","produces",,"item_349"
"dijete","child","child","people","dijete","word","produces",,"item_350"
"dimnjačar",,"chimney sweeper","people","dimnjacar","word","produces",,"item_351"
"dječak",,"boy","people","djecak","word","produces",,"item_352"
"djed",,"grandpa","people","djed","word","produces",,"item_353"
"djevojčica","girl","girl","people","djevojcica","word","produces",,"item_354"
"doktor",,"doctor","people","doktor","word","produces",,"item_355"
"gospođa",,"lady","people","gospoda","word","produces",,"item_356"
"ime kućnog ljubimca",,"pet`s name","people","ime_kucnog_ljubimca","word","produces",,"item_357"
"ime osobe koja čuva dijete",,"babysitter`s name","people","ime_osobe_koja_cuva_dijete","word","produces",,"item_358"
"klaun",,"clown","people","klaun","word","produces",,"item_359"
"kum/kuma",,"aunt","people","kum/kuma","word","produces",,"item_360"
"ljudi",,"people","people","ljudi","word","produces",,"item_361"
"mama",,"mommy","people","mama","word","produces",,"item_362"
"policajac",,"police","people","policajac","word","produces",,"item_363"
"poštar",,"mailman","people","postar","word","produces",,"item_364"
"prijatelj",,"friend","people","prijatelj","word","produces",,"item_365"
"sestra",,"sister","people","sestra","word","produces",,"item_366"
"smetlar",,"dustman","people","smetlar","word","produces",,"item_367"
"stric",,"uncle","people","stric","word","produces",,"item_368"
"striček",,"s","people","stricek","word","produces",,"item_369"
"svoje ime",,"child`s own name","people","svoje_ime","word","produces",,"item_370"
"tata",,"daddy","people","tata","word","produces",,"item_371"
"teta",,"aunt","people","teta","word","produces",,"item_372"
"učitelj",,"teacher","people","ucitelj","word","produces",,"item_373"
"ujak",,"uncle","people","ujak","word","produces",,"item_374"
"vatrogasac",,"fireman","people","vatrogasac","word","produces",,"item_375"
"bježi!",,"run!","games_routines","bjezi!","word","produces",,"item_376"
"bok!","hi","hi!","games_routines","bok!","word","produces",,"item_377"
"da",,"yes","games_routines","da","word","produces",,"item_378"
"daj ruku!",,"give me your hand!","games_routines","daj_ruku!","word","produces",,"item_379"
"dobar dan",,"hello","games_routines","dobar_dan","word","produces",,"item_380"
"doručak",,"breakfast","games_routines","dorucak","word","produces",,"item_381"
"hajde!",,"come on!","games_routines","hajde!","word","produces",,"item_382"
"halo-halo",,"call (on phone)","games_routines","halo-halo","word","produces",,"item_383"
"Hoću tutu",,"go potty","games_routines","Hocu_tutu","word","produces",,"item_384"
"hvala",,"thank you","games_routines","hvala","word","produces",,"item_385"
"kakiti",,"make poop","games_routines","kakiti","word","produces",,"item_386"
"ku-ku (routine)",,"peekaboo","games_routines","ku-ku","word","produces",,"item_387"
"kupanje",,"bath","games_routines","kupanje","word","produces",,"item_388"
"kupiti",,"buy","games_routines","kupiti","word","produces",,"item_389"
"laku noć",,"night night","games_routines","laku_noc","word","produces",,"item_390"
"lovi me",,"gonna get you!","games_routines","lovi_me","word","produces",,"item_391"
"molim",,"plese","games_routines","molim","word","produces",,"item_392"
"Ne!","no","no","games_routines","Ne!","word","produces",,"item_393"
"okreni se",,"turn around","games_routines","okreni_se","word","produces",,"item_394"
"pa-pa",,"bye","games_routines","pa-pa","word","produces",,"item_395"
"piškiti",,"go pee-pee","games_routines","piskiti","word","produces",,"item_396"
"psst-tiho",,"shh/shush/hush","games_routines","psst-tiho","word","produces",,"item_397"
"ringe-raja",,"ring-around-the-rosy","games_routines","ringe-raja","word","produces",,"item_398"
"ručak",,"lunch","games_routines","rucak","word","produces",,"item_399"
"spavanje",,"sleep","games_routines","spavanje","word","produces",,"item_400"
"baciti",,"throw","action_words","baciti","word","produces",,"item_401"
"bježati",,"run","action_words","bjezati","word","produces",,"item_402"
"bojati",,"paint","action_words","bojati","word","produces",,"item_403"
"brisati",,"wipe","action_words","brisati","word","produces",,"item_404"
"buditi",,"wake","action_words","buditi","word","produces",,"item_405"
