CatGram,Semantic Cat,category,definition,itemID
CCI,question words,question_words,pourquoi,item_618
CCI,question words,question_words,quand,item_619
CCI,question words,question_words,qui,item_620
CCI,question words,question_words,quoi,item_621
CCI,preposition and localisation,locations,à,item_622
CCI,preposition and localisation,locations,à côté de,item_623
CCI,preposition and localisation,locations,à l'intérieur de,item_624
CCI,preposition and localisation,locations,au dessus de,item_625
CCI,preposition and localisation,locations,au loin,item_626
CCI,preposition and localisation,locations,au sommet de,item_627
CCI,preposition and localisation,locations,au sujet de,item_628
CCI,preposition and localisation,locations,autour de,item_629
CCI,preposition and localisation,locations,avec,item_630
CCI,preposition and localisation,locations,chez,item_631
CCI,preposition and localisation,locations,dans,item_632
CCI,preposition and localisation,locations,de,item_633
CCI,preposition and localisation,locations,dehors,item_634
CCI,preposition and localisation,locations,derrière,item_635
CCI,preposition and localisation,locations,en bas,item_636
CCI,preposition and localisation,locations,en haut,item_637
CCI,preposition and localisation,locations,ici,item_638
CCI,preposition and localisation,locations,là,item_639
CCI,preposition and localisation,locations,là-bas,item_640
CCI,preposition and localisation,locations,loin,item_641
CCI,preposition and localisation,locations,par dessus,item_642
CCI,preposition and localisation,locations,pour,item_643
CCI,preposition and localisation,locations,près de,item_644
CCI,preposition and localisation,locations,sous,item_645
CCI,preposition and localisation,locations,sur,item_646
CCI,preposition and localisation,locations,vers,item_647
CCI,quantifiers and articles,articles,aucun/e,item_648
CCI,quantifiers and articles,articles,aussi,item_649
CCI,quantifiers and articles,articles,autre,item_650
CCI,quantifiers and articles,articles,chaque,item_651
CCI,quantifiers and articles,articles,du/de la/des,item_652
CCI,quantifiers and articles,articles,encore,item_653
CCI,quantifiers and articles,articles,le/la même,item_654
CCI,quantifiers and articles,articles,le/la/les,item_655
CCI,quantifiers and articles,articles,pas,item_656
CCI,quantifiers and articles,articles,plein/beaucoup,item_657
CCI,quantifiers and articles,articles,tous/tout,item_658
CCI,quantifiers and articles,articles,un autre,item_659
CCI,quantifiers and articles,articles,un peu,item_660
CCI,quantifiers and articles,articles,un/une,item_661
CCI,Pronouns,pronouns,à elle/sa,item_662
CCI,Pronouns,pronouns,à lui/son,item_663
CCI,Pronouns,pronouns,à moi,item_664
CCI,Pronouns,pronouns,ça,item_665
CCI,Pronouns,pronouns,ces,item_666
CCI,Pronouns,pronouns,ceux,item_667
CCI,Pronouns,pronouns,elle,item_668
CCI,Pronouns,pronouns,eux,item_669
CCI,Pronouns,pronouns,il,item_670
CCI,Pronouns,pronouns,ils/elles,item_671
CCI,Pronouns,pronouns,je,item_672
CCI,Pronouns,pronouns,leur,item_673
CCI,Pronouns,pronouns,lui,item_674
CCI,Pronouns,pronouns,ma/mon/mes,item_675
CCI,Pronouns,pronouns,moi,item_676
CCI,Pronouns,pronouns,moi-même,item_677
CCI,Pronouns,pronouns,notre,item_678
CCI,Pronouns,pronouns,nous,item_679
CCI,Pronouns,pronouns,on,item_680
CCI,Pronouns,pronouns,ses,item_681
CCI,Pronouns,pronouns,toi-même,item_682
CCI,Pronouns,pronouns,votre/ta/ton,item_683
CCI,Pronouns,pronouns,vous/tu,item_684
CCI,Connectors,connecting_words,alors,item_685
CCI,Connectors,connecting_words,donc,item_686
CCI,Connectors,connecting_words,et,item_687
CCI,Connectors,connecting_words,mais,item_688
CCI,Connectors,connecting_words,parce que,item_689
CCI,Connectors,connecting_words,si,item_690
